tc_id,entry_status,entry_resolved,keycodes_used,literal_expected,literal_observed,verify_status,focus_observed,focus_model,divergence,evidence_files,note
"ALTBASIC_HDK_046","DISCOVERY_BLOCKED","HOME precondition only","—","second-home top-right app -> 전화 앱","—","DISCOVERY_BLOCKED","—","—","required swipe entry is forbidden by keyevent-only contract; 3-page launcher remains","ALTBASIC_HDK_046_s1_pre.xml","no swipe or substitute route invented"
"ALTBASIC_HDK_050","ENTRY_OK","quick panel via cmd statusbar expand-notifications","4","WIFI 버튼 | 알림 영역","pre=com.android.systemui; post=HOME","NOT_PRESENT","pre carrier TextView selected; post camera tile focused","node","BACK collapsed panel completely instead of returning to split quick panel","ALTBASIC_HDK_050_s1_pre.xml|ALTBASIC_HDK_050_s1_post.xml","no quick-setting toggle executed"
"ALTBASIC_HDK_052","ENTRY_OK","power menu via --longpress 26","--longpress 26 | 22 x3 | 4 cleanup","응급전화 | 기기종료 | 재시작","긴급 전화 | 전원 끄기 | 다시 시작","LITERAL_PENDING","긴급 전화 -> 전원 끄기 -> retained on repeated right","node","labels differ; repeated RIGHT did not cycle beyond 전원 끄기","ALTBASIC_HDK_052_s1_pre.xml|ALTBASIC_HDK_052_s1_post.xml|ALTBASIC_HDK_052_s2_pre.xml|ALTBASIC_HDK_052_s2_post1.xml|ALTBASIC_HDK_052_s2_post2.xml|ALTBASIC_HDK_052_s2_post3.xml|ALTBASIC_HDK_052_cleanup.xml","OK never sent; BACK closed popup"
"ALTBASIC_HDK_053","ENTRY_OK","power menu via --longpress 26","--longpress 26 | 21 | 4 cleanup","응급전화 | 재시작 | 기기종료","긴급 전화 | 다시 시작 | 전원 끄기","LITERAL_PENDING","긴급 전화 -> retained after LEFT","node","labels differ; LEFT did not reverse-cycle from initial item","ALTBASIC_HDK_053_s1_pre.xml|ALTBASIC_HDK_053_s1_post.xml|ALTBASIC_HDK_053_s2_pre.xml|ALTBASIC_HDK_053_s2_post.xml|ALTBASIC_HDK_053_cleanup.xml","OK never sent; BACK closed popup"
"ALTBASIC_HDK_054","ENTRY_OK","power menu via --longpress 26","--longpress 26 | 20 | 19 | 4 cleanup","재시작 | 응급전화","다시 시작 | 긴급 전화","LITERAL_PENDING","긴급 전화 -> 다시 시작 -> 긴급 전화","node","focus behavior matched direction semantics; both literals differ","ALTBASIC_HDK_054_s1_pre.xml|ALTBASIC_HDK_054_s1_post.xml|ALTBASIC_HDK_054_s2_pre.xml|ALTBASIC_HDK_054_s2_post.xml|ALTBASIC_HDK_054_s3_pre.xml|ALTBASIC_HDK_054_s3_post.xml|ALTBASIC_HDK_054_cleanup.xml","OK never sent; BACK closed popup"
"ALTBASIC_HDK_055","ENTRY_FAILED","message app unavailable after sole keycode candidate failed in HDK_023","—","+메시지 작성 | 검색 | 더보기","—","ENTRY_FAILED","—","—","message entry keycode unresolved","ALTBASIC_HDK_055_s1_pre.xml","candidate 65 was not retried; no alternative route invented"
"ALTBASIC_HDK_056","ENTRY_FAILED","message app unavailable after sole keycode candidate failed in HDK_023","—","설정 버튼","—","ENTRY_FAILED","—","—","dependent settings-focus precondition could not be established","ALTBASIC_HDK_056_s1_pre.xml","candidate 65 was not retried"
"ALTBASIC_HDK_062","PRECONDITION_MISMATCH","contacts entered via 207; required 더보기 focus target absent","207","목록 버튼","탐색 창 열기 | 연락처 추가 | 새 연락처 만들기","PRECONDITION_MISMATCH","none","—","empty-contact UI has no 더보기 button","ALTBASIC_HDK_062_s1_pre.xml|ALTBASIC_HDK_062_entry_post.xml","no OK input"
"ALTBASIC_HDK_064","DISCOVERY_BLOCKED","contacts entered via 207; empty-contact precondition satisfied","207","새 연락처 만들기","새 연락처 만들기 present before action","DISCOVERY_BLOCKED","none","—","source action 'Navi 키(전체)' has no mapped keycode","ALTBASIC_HDK_064_s1_pre.xml|ALTBASIC_HDK_064_entry_post.xml","NAVI_ALL_UNRESOLVED; no OK input"
"ALTBASIC_HDK_070","PRECONDITION_MISMATCH","contacts entered via 207; required 더보기 focus target absent","207","더보기 리스트 | 더보기 아이콘","탐색 창 열기 | 연락처 추가 | 새 연락처 만들기","PRECONDITION_MISMATCH","none","—","empty-contact UI has no 더보기 button","ALTBASIC_HDK_070_s1_pre.xml|ALTBASIC_HDK_070_entry_post.xml","OK and menu item execution not attempted"
"ALTBASIC_HDK_094","ENTRY_OK","HOME 설정 tile; stale task popped by BACK loop; retry reached Settings root","19 | 23 | BACK x3 recovery","소리 및 진동 | 텍스트 크기 | Wifi | 디스플레이 | 배경화면 및 스타일 | 안심기능 | 안전 및 긴급 상황","network/connected/roaming/apps/안심 기능/notification/battery/storage/소리 및 진동/디스플레이/배경화면 및 스타일/mode/accessibility/security/privacy/location/안전 및 긴급 상황","LITERAL_PENDING","Settings root LinearLayout focus sequence","node","first OK resumed screen-timeout dialog; retry after BACK loop reached root; several labels/path assumptions differ","ALTBASIC_HDK_094_s1_pre.xml|ALTBASIC_HDK_094_s1_post.xml|ALTBASIC_HDK_094_retry_pre.xml|ALTBASIC_HDK_094_retry_post.xml|SETTINGS_root_down_01.xml..SETTINGS_root_down_09.xml|SETTINGS_safety_seek_01.xml..SETTINGS_safety_seek_17.xml","root order captured for driver slice"
"ALTBASIC_HDK_096","ENTRY_OK","Settings root 소리 및 진동 focus resolved","20","소리&진동; move down one; bottom boundary","pre=소리 및 진동; post=디스플레이","LITERAL_PENDING","LinearLayout[소리 및 진동] -> LinearLayout[디스플레이]","node","source label differs; one-step movement observed, bottom-boundary clause not exercised by single-step procedure","ALTBASIC_HDK_096_s1_pre.xml|ALTBASIC_HDK_096_s1_post.xml","no item opened"
"ALTBASIC_HDK_097","ENTRY_OK","Settings root 소리 및 진동 focus resolved","19 | 23 | 4 cleanup","소리& 진동","미디어 볼륨 | 통화 볼륨 | 벨소리 볼륨 | 알림 볼륨 | 알람 볼륨","LITERAL_PENDING","root sound LinearLayout -> destination SeekBar focused","node","destination semantics observed but expected page-title literal absent from dump","ALTBASIC_HDK_097_s1_pre.xml|ALTBASIC_HDK_097_s1_post.xml","no volume value changed"
"ALTBASIC_HDK_098","ENTRY_OK","actual path: 네트워크 및 인터넷 -> Wi-Fi","23 | 23 discovery follow-up | 4 x2 cleanup","WIFI 설정","Wi-Fi | <REDACTED_AP_LIST>","LITERAL_PENDING","network root LinearLayout -> Wi-Fi row -> Wi-Fi page","node","no standalone Wi-Fi item at root; actual path requires two OK presses and label punctuation differs","ALTBASIC_HDK_098_s1_pre.xml|ALTBASIC_HDK_098_s1_post.xml|ALTBASIC_HDK_098_actual_s2_pre.xml|ALTBASIC_HDK_098_actual_s2_post.xml","no toggle, AP selection, or connection action; SSIDs redacted"
"ALTBASIC_HDK_099","ENTRY_OK","Settings root 배경화면 및 스타일 focus resolved","20 | 23 | 4 cleanup","배경 화면 및 스타일","배경화면 및 스타일 | 잠금 화면 | 홈 화면 | 배경화면 변경","LITERAL_PENDING","root wallpaper LinearLayout -> com.hnlens.wallpaper destination","node","expected label contains extra space","ALTBASIC_HDK_099_s1_pre.xml|ALTBASIC_HDK_099_s1_post.xml","no wallpaper change applied"
"ALTBASIC_HDK_100","ENTRY_OK","Settings root 디스플레이 focus resolved","20 | 23 | 4 cleanup","디스플레이","밝기 | 키패드 조명 동작 시간 | 밝기 자동 조절 | 잠금 디스플레이 | 화면 자동 잠금 시간","LITERAL_PENDING","root display LinearLayout -> destination controls","node","destination semantics observed but expected page-title literal absent from dump","ALTBASIC_HDK_100_s1_pre.xml|ALTBASIC_HDK_100_s1_post.xml","no display value or toggle changed"
"ALTBASIC_HDK_101","ENTRY_OK","Settings root 안심 기능 focus resolved","23 | 4 cleanup","안심 기능","안심 기능","LITERAL_CONFIRMED","root 안심 기능 LinearLayout -> com.hnlens.safetyfeature page","node","source summary and destination include SOS-related options; no option entered","ALTBASIC_HDK_101_s1_pre.xml|ALTBASIC_HDK_101_s1_post.xml","page exposure only"
"ALTBASIC_HDK_102","ENTRY_OK","Settings root 안전 및 긴급 상황 focus resolved","23 | 4 cleanup","긴급 상황 정보","긴급 상황 정보","LITERAL_CONFIRMED","root 안전 및 긴급 상황 LinearLayout -> Settings emergency page","node","destination also contains SOS and emergency options; no further OK sent","ALTBASIC_HDK_102_s1_pre.xml|ALTBASIC_HDK_102_s1_post.xml","elevated caution honored; page exposure only"
