new_id,wave,sheet,source_tc_id,redesign_pattern,redesign_note
ALTBASIC_LCH_114,wave2,24.Launcher,114.0,popup_cancel,포토 슬라이드쇼 안내 팝업 취소 → 화면 복귀; pre=다시보기 미체크 Default
ALTBASIC_LCH_188,wave2,24.Launcher,188.0,observe_split,배경화면 및 스타일 항목 노출 observe (적용 제거); carrier_fit=UNCONFIRMED
ALTBASIC_LCH_212,wave2,24.Launcher,212.0,selection_gated,폴더 내 앱 Long Tap → 메뉴 observe → 이탈 (batch3 literal 재사용); pre=홈 폴더 존재
ALTBASIC_LCH_222,wave2,24.Launcher,222.0,transient_input,"위젯 검색 ""시계"" → 키보드+결과 observe → back (추가 금지)"
ALTBASIC_CAM_026,wave2,28.Camera,26.0,roundtrip_restore,전면→후면 왕복 전환 (원상복귀 내장; batch3 CAM_006 전환 실증)
ALTBASIC_CAM_098,wave2,28.Camera,98.0,roundtrip_restore,후면+동영상 → Home → 재실행 모드 유지 observe → 사진 복귀 cleanup
ALTBASIC_MSG_119,wave2,26.Message,119.0,transient_input,차단 문구 32바이트 초과 → 경고+확인 비활성 (구조적 저장 불가) → 취소
ALTBASIC_MSG_144,wave2,26.Message,144.0,observe_split,개인정보 수집 동의 화면 전환 observe (동의/철회 tap 금지; 스팸신고 팝업 검증 제거)
ALTBASIC_MSG_187,wave2,26.Message,187.0,popup_cancel,글꼴 크기 팝업 observe → 취소 (설정값 변경 검증 제거)
ALTBASIC_MSG_201,wave2,26.Message,201.0,observe_split,"compose-entry 대표 probe: ""+"" 첨부 리스트 observe → back; 무입력; draft 잔존 관찰 필수; redaction gate"
ALTBASIC_MSG_336,wave2,26.Message,336.0,transient_input,차단 번호 숫자 1~2개 → 차단 버튼 비활성 observe → clear+back
ALTBASIC_CNT_132,wave2,27.Contacts,132.0,observe_split,새 연락처 이름 확장(▽) → 필드 노출 observe → 저장 0 이탈 (이탈 팝업 처리 명시)
ALTBASIC_CNT_137,wave2,27.Contacts,137.0,popup_cancel,연락처 사진 카메라 버튼 → 사진 변경 팝업 observe → 취소; 저장 0 이탈
