tc_id,source_file,original_entry_detail,extracted_token,not_a_key_subtype,confidence,proposed_action,resolution_requirement,rationale,required_decision
ALTBASIC_QPN_123,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:WI-FI focus > Press right > press_key:Wi-Fi focus > Press down,Wi-Fi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_124,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:블루투스 focus > Press down > press_key:모바일 데이터 focus > Press right,블루투스 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_124,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:블루투스 focus > Press down > press_key:모바일 데이터 focus > Press right,모바일 데이터 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_125,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:모바일 데이터 focus > press down > press_key:소리모드 focus > press down,모바일 데이터 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_125,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:모바일 데이터 focus > press down > press_key:소리모드 focus > press down,소리모드 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_130,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:펼치기 focus > Press OK,펼치기 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_131,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > press up,wifi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_133,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press OK 길게 입력,wifi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_134,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press right,wifi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_135,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press down,wifi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_137,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:밝기 조절 바 아이콘에 focus > press down,밝기 조절 바 아이콘에 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_138,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > keep press down,wifi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_140,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:수정 버튼 focus > keep press up,수정 버튼 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_141,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:수정 버튼 focus > keep press right,수정 버튼 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_142,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press back 또는 cancel,wifi focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_145,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:모바일 데이터 focus > Press OK 길게 입력,모바일 데이터 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_146,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:소리모드 focus > Press OK 길게 입력,소리모드 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_149,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:자동 회전 focus > Press Ok 길게 입력,자동 회전 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_153,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:데이터 절약 focus > Press Ok 길게 입력,데이터 절약 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_155,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:방해금지 focus > Press Ok 길게 입력,방해금지 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_157,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:핫스팟 focus > Press Ok long tap,핫스팟 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_158,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Quick Share focus > Press Ok,Quick Share focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_159,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:QR코드 스캐너 focus > Press Ok,QR코드 스캐너 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_163,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:집중 모드 focus > Press Ok,집중 모드 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_165,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:알람 focus > Press Ok,알람 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_167,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:수정 버튼 focus >press ok,수정 버튼 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_168,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 첫 번째 메뉴 focus > Press up,첫 번째 메뉴 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_175,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:전원 버튼 focus >press ok,전원 버튼 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_QPN_176,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:설정 버튼 focus >press ok,설정 버튼 focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_SFT_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 설정 > 안심기능 > SOS 버튼,안심기능,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SFT_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 설정 > 안심기능 > SOS 버튼 > tap:2. 짧게 누르기 Tap,안심기능,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_090,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:설정 > 안심 기능 > 보호자 등록,안심 기능,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_090,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:설정 > 안심 기능 > 보호자 등록,보호자 등록,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_091,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:설정 > 안심 기능 > 보호자 등록 > 보호자 추가,안심 기능,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_091,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:설정 > 안심 기능 > 보호자 등록 > 보호자 추가,보호자 등록,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_091,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:설정 > 안심 기능 > 보호자 등록 > 보호자 추가,보호자 추가,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_123,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 > 안심 기능 > 측면 버튼,안심 기능,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_256,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 설정 > 배터리 >절전 모드,배터리,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_256,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 설정 > 배터리 >절전 모드,절전 모드,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_273,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 설정 > 소리 및 진동 > 방해 금지 모드,소리 및 진동,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_273,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 설정 > 소리 및 진동 > 방해 금지 모드,방해 금지 모드,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_602,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 설정 > 접근성 > 실시간 자막 Tap,접근성,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_602,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 설정 > 접근성 > 실시간 자막 Tap,실시간 자막 Tap,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_610,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 설정 > 접근성 > 실시간 자막 Tap > tap:2. 자막 환경설정 Tap > tap:3. 추가 옵션 Tap,접근성,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_610,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 설정 > 접근성 > 실시간 자막 Tap > tap:2. 자막 환경설정 Tap > tap:3. 추가 옵션 Tap,실시간 자막 Tap,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_651,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 설정 > 접근성 > 텍스트 음성 변환 출력 Tap > tap:2. 기본엔진 Set. Icon Tap,접근성,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_651,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 설정 > 접근성 > 텍스트 음성 변환 출력 Tap > tap:2. 기본엔진 Set. Icon Tap,텍스트 음성 변환 출력 Tap,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_972,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 >언어 및 입력 > 터치 키보드,시스템,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_972,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 >언어 및 입력 > 터치 키보드,언어 및 입력,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_972,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 >언어 및 입력 > 터치 키보드,터치 키보드,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_977,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 언어 및 입력 > 텍스트 음성 변환 출력 > 기본 엔진 설정,시스템,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_977,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 언어 및 입력 > 텍스트 음성 변환 출력 > 기본 엔진 설정,언어 및 입력,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_977,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 언어 및 입력 > 텍스트 음성 변환 출력 > 기본 엔진 설정,텍스트 음성 변환 출력,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_977,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 언어 및 입력 > 텍스트 음성 변환 출력 > 기본 엔진 설정,기본 엔진 설정,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_985,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 날짜 및 시간,시스템,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_985,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 날짜 및 시간,날짜 및 시간,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_987,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 여러 사용자,시스템,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_SET_987,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:설정 >시스템 > 여러 사용자,여러 사용자,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_LCH_016,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:앱 서랍 포커스 되지 않은 상태 > 네비키 또는 OK키 입력 > navigate:[앱 서랍 진입 설명 추가 필요],앱 서랍 포커스 되지 않은 상태,VERIFIER_FOCUS_STATE,high,verifier:focus_state,VERIFIER_FOCUS,focus token + state/observe marker,screen_verifier_decision
ALTBASIC_LCH_017,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 우방향키 입력,앱서랍 진입,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_018,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 우방향키 누른 상태로 유지,앱서랍 진입,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_019,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 하방향키 누른 상태로 유지,앱서랍 진입,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_020,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 하방향키 누른 상태로 유지 > press_key:2. 스크롤 마지막 앱에 포커스 위치 > 상방향키 누른 상태로 유지,앱서랍 진입,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_020,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 하방향키 누른 상태로 유지 > press_key:2. 스크롤 마지막 앱에 포커스 위치 > 상방향키 누른 상태로 유지,스크롤 마지막 앱에 포커스 위치,VERIFIER_FOCUS_STATE,high,verifier:focus_state,VERIFIER_FOCUS,focus token + state/observe marker,screen_verifier_decision
ALTBASIC_LCH_022,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > 하방향키 입력,홈화면,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_023,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > 하방향키 입력 > 우방향키 입력,홈화면,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_024,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > 하방향키 입력 > 우방향키 3회 입력,홈화면,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_026,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > press_key:우방향키 누른 상태로 유지,홈화면,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_044,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_045,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up > press_key:Press Ok,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_046,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 2회 입력,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_047,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 2회 입력 > press_key:Press Ok,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_048,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 3회 입력,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_049,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 3회 입력 > press_key:Press Ok,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_050,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 4회 입력,간편 설정 페이지,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_LCH_153,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈 화면 하드키로 앱 포커스 > press_key:HardKey '확인' 버튼 롱탭,홈 화면 하드키로 앱 포커스,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
ALTBASIC_LCH_154,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈 화면 하드키로 앱 포커스 > press_key:HardKey '확인' 버튼 롱탭 > press_key:하방향키 입력,홈 화면 하드키로 앱 포커스,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
