row_key,sheet,tc_id,functionality,redesign_pattern,confidence,reason
11.Hard Key#44.0,11.Hard Key,44.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.72,"2번째 홈 grid서 Navi↓ 꾹 시 초점 순차 이동. 고정 앱 grid, focus 이동만, mutation 없음"
11.Hard Key#45.0,11.Hard Key,45.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.72,"세번째 우측앱 초점서 Navi↑ 꾹 시 상단 좌측까지 이동. 고정 grid focus 이동만, mutation 없음"
11.Hard Key#46.0,11.Hard Key,46.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.72,"상단 우측앱 초점서 Navi↓ 꾹 시 하단 전화앱까지 이동. 고정 grid focus 이동만, mutation 없음"
11.Hard Key#47.0,11.Hard Key,47.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.72,"하단 좌측앱 초점서 Navi↑ 꾹 시 상단 좌측까지 이동. 고정 grid focus 이동만, mutation 없음"
11.Hard Key#50.0,11.Hard Key,50.0,메뉴 키 정의 ( Navi 키 모든 버튼),popup_cancel,0.68,"퀵패널 전체화면서 뒤로가기 시 분할화면 복귀+WIFI 초점. 화면전환 관찰, WIFI 고정 요소 assert"
11.Hard Key#52.0,11.Hard Key,52.0,메뉴 키 정의 ( Navi 키 모든 버튼),popup_cancel,0.7,"종료팝업서 Navi→ 반복 시 응급전화/기기종료/재시작 초점 순환. focus 이동 관찰만, 실행 안함"
11.Hard Key#53.0,11.Hard Key,53.0,메뉴 키 정의 ( Navi 키 모든 버튼),popup_cancel,0.7,"종료팝업서 Navi← 시 응급전화/재시작/기기종료 초점 이동. focus 이동 관찰만, 실행 안함"
11.Hard Key#54.0,11.Hard Key,54.0,메뉴 키 정의 ( Navi 키 모든 버튼),popup_cancel,0.7,"종료팝업서 Navi↓↑ 시 재시작/응급전화 초점 이동. focus 이동 관찰만, 실행 안함"
11.Hard Key#55.0,11.Hard Key,55.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.76,"메시지앱서 Navi 순회 시 작성/검색/더보기 focus. 고정 툴바 요소 focus assert, 메시지 데이터 불요"
11.Hard Key#56.0,11.Hard Key,56.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.78,"설정 버튼 활성서 Navi→ 시 더이상 이동 안함·설정 버튼 유지. focus 경계 assert, mutation 없음"
11.Hard Key#62.0,11.Hard Key,62.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.74,"더보기 활성서 Navi← 반복 시 더이상 이동 안함. focus 경계 assert, mutation 없음"
11.Hard Key#64.0,11.Hard Key,64.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.78,"연락처 없을 때 Navi 시 '새 연락처 만들기' 텍스트 이동. 빈 상태 precondition 명시, 고정 텍스트 assert"
11.Hard Key#69.0,11.Hard Key,69.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.66,"더보기 OK 시 설정 리스트 활성+Navi 상하 리스트 focus. 고정 설정 메뉴 focus assert, 사용자 데이터 불요"
11.Hard Key#70.0,11.Hard Key,70.0,메뉴 키 정의 ( Navi 키 모든 버튼),popup_cancel,0.72,"더보기 OK로 리스트 활성, 뒤로가기로 닫힘+더보기 아이콘 활성. 화면전환 관찰, mutation 없음"
11.Hard Key#94.0,11.Hard Key,94.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.8,"OK로 심플설정 진입, 고정 메뉴 라벨(소리/Wifi/디스플레이/안심기능 등) presence assert 가능. mutation 없음."
11.Hard Key#95.0,11.Hard Key,95.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.82,"최상단에서 ↑눌러도 focus 안 올라감=경계 focus 검증. mutation·데이터 없음, 결정적."
11.Hard Key#96.0,11.Hard Key,96.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.8,"↓로 소리&진동에서 한단계씩 내림·하단 경계 정지=focus 이동 검증. 고정 설정 항목, mutation 없음."
11.Hard Key#97.0,11.Hard Key,97.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.82,"OK로 소리&진동 설정 페이지 이동=화면 전환 검증. 고정 라벨 assert 가능, mutation 없음."
11.Hard Key#98.0,11.Hard Key,98.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.82,"OK로 WIFI 설정 페이지 이동=화면 전환. 고정 라벨 assert 가능, mutation 없음."
11.Hard Key#99.0,11.Hard Key,99.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.82,"OK로 배경화면 및 스타일 페이지 이동=화면 전환. 고정 라벨 assert 가능, mutation 없음."
11.Hard Key#100.0,11.Hard Key,100.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.82,"OK로 디스플레이 페이지 이동=화면 전환. 고정 라벨 assert 가능, mutation 없음."
11.Hard Key#101.0,11.Hard Key,101.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.82,"OK로 안심 기능 페이지 이동=화면 전환. 고정 라벨 assert 가능, mutation 없음."
11.Hard Key#102.0,11.Hard Key,102.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.8,"OK로 긴급 상황 정보 페이지 이동=화면 전환. 고정 라벨 assert 가능, mutation 없음."
14.Quick panel#1.0,14.Quick panel,1.0,디폴트 퀵 패널,-,0.78,"퀵패널 활성화 후 기본 항목(WIFI/블루투스/모바일데이터 등) 고정 default 라벨 presence assert 가능. 노출만, mutation 없음."
14.Quick panel#2.0,14.Quick panel,2.0,전체 보기,-,0.76,"편집 버튼 Tap→추가가능 아이콘(핫스팟/QR 등) 고정 라벨 presence assert 가능. 편집모드 미커밋, mutation 없음."
14.Quick panel#4.0,14.Quick panel,4.0,퀵패널 진입,-,0.72,"펼치기 Tap→퀵패널 전체 화면 노출=화면 전환 검증. 요소 presence assert 가능, mutation 없음."
14.Quick panel#8.0,14.Quick panel,8.0,퀵 패널 - 수정,roundtrip_restore,0.74,"편집 버튼→뒤로가기→편집 전 화면 복귀=왕복 검증, 외부효과 없음. 화면 전환 assert 가능."
14.Quick panel#10.0,14.Quick panel,10.0,퀵 패널 - 설정,-,0.8,"설정 버튼→설정 화면 전환=화면 전환 검증. 고정 라벨 assert 가능, mutation 없음."
14.Quick panel#11.0,14.Quick panel,11.0,퀵 패널 - 전원 버튼,popup_cancel,0.78,"전원 버튼→전원 팝업(긴급전화/전원끄기/다시시작) 고정 라벨 presence assert 가능. 노출만, 실행 안 함."
14.Quick panel#12.0,14.Quick panel,12.0,퀵 패널 - 전원 버튼,-,0.72,"긴급 전화→긴급 전화 화면 전환=화면 전환 검증. 고정 라벨 assert 가능, 발신 안 함."
14.Quick panel#26.0,14.Quick panel,26.0,모바일 데이터 - Long 탭,-,0.74,"모바일 데이터 Long Tap→모바일 데이터 설정 이동=화면 전환. 토글 아닌 long tap 이동, mutation 없음."
14.Quick panel#43.0,14.Quick panel,43.0,화면 터치 잠금 - ON,popup_cancel,0.72,"precondition '꺼짐'=default 상태(셋업 불필요). 탭→켜기 팝업+취소/확인 presence assert, 확정 안 함, mutation 없음."
14.Quick panel#44.0,14.Quick panel,44.0,화면 터치 잠금 - ON,popup_cancel,0.78,precondition '꺼짐'=default. 탭→팝업→취소→팝업 사라짐+꺼짐 유지=취소 경로 상태 불변 검증. mutation 없음.
14.Quick panel#53.0,14.Quick panel,53.0,자동 회전 long tap,-,0.72,"자동 회전 Long 탭→자동 회전 메뉴 이동+토글 표시. 토글 표시 presence assert, 전환만, mutation 없음."
14.Quick panel#56.0,14.Quick panel,56.0,절전 모드 - Long 탭,-,0.76,"절전 모드 Long 탭→절전 모드 메뉴 이동=화면 전환 검증. 고정 라벨 assert 가능, mutation 없음."
14.Quick panel#66.0,14.Quick panel,66.0,핫스팟 - Long 탭,-,0.85,"핫스팟 Long탭 시 Wi-Fi 핫스팟 설정 화면 전환, 고정 화면 presence assert. mutation 없음"
14.Quick panel#102.0,14.Quick panel,102.0,집중 모드 - Long 탭,-,0.85,"집중모드 Long탭 시 설정메뉴 이동, 고정 화면 전환만. mutation 없음"
14.Quick panel#116.0,14.Quick panel,116.0,퀵 패널 - 알림창,-,0.78,"퀵패널 내림 시 패널/아이콘/알림창 chrome 노출, 고정요소 presence. mutation 없음"
14.Quick panel#120.0,14.Quick panel,120.0,하드키 동작,-,0.76,"간편모드 홈화면 최초 focus 미표시 부정검증, 시스템모드 전제 가능"
14.Quick panel#121.0,14.Quick panel,121.0,하드키 동작,-,0.8,"방향키 입력 시 전화앱 focus 이동, 고정 라벨 focus presence assert"
14.Quick panel#122.0,14.Quick panel,122.0,하드키 동작,-,0.82,"홈버튼 Long press 시 퀵패널 노출, 고정 패널 presence. mutation 없음"
14.Quick panel#123.0,14.Quick panel,123.0,하드키 동작,-,0.85,"방향키 입력 시 블루투스/모바일데이터 focus 이동, 고정 타일 focus assert"
14.Quick panel#124.0,14.Quick panel,124.0,하드키 동작,-,0.85,"방향키 입력 시 소리모드 focus 이동, 고정 타일 focus assert. mutation 없음"
14.Quick panel#125.0,14.Quick panel,125.0,하드키 동작,-,0.85,"방향키 입력 시 펼치기 focus 이동, 고정 라벨 focus presence assert"
14.Quick panel#130.0,14.Quick panel,130.0,하드키 동작,-,0.8,"펼치기 OK 시 패널 펼침+wifi focus, 화면전환·고정 focus. mutation 없음"
14.Quick panel#131.0,14.Quick panel,131.0,하드키 동작,-,0.82,"wifi focus up 시 밝기 아이콘 focus, 고정 요소 focus 이동만"
14.Quick panel#133.0,14.Quick panel,133.0,하드키 동작,-,0.82,"wifi OK 길게 시 Wi-Fi 설정페이지 이동, 고정 화면 전환만"
14.Quick panel#134.0,14.Quick panel,134.0,하드키 동작,-,0.85,"wifi focus right 시 블루투스 focus, 고정 타일 focus 이동만"
14.Quick panel#135.0,14.Quick panel,135.0,하드키 동작,-,0.85,"wifi focus down 시 모바일데이터 focus, 고정 타일 focus 이동만"
14.Quick panel#137.0,14.Quick panel,137.0,하드키 동작,-,0.85,"밝기바 아이콘 focus down 시 wifi focus, 고정 요소 focus 이동만"
14.Quick panel#138.0,14.Quick panel,138.0,하드키 동작,-,0.88,"wifi focus down keep 시 수정버튼 focus, 고정 라벨 focus 이동만"
14.Quick panel#140.0,14.Quick panel,140.0,하드키 동작,-,0.85,"수정버튼 focus up 시 밝기조절 focus, 고정 요소 focus 이동만"
14.Quick panel#141.0,14.Quick panel,141.0,하드키 동작,-,0.85,"수정버튼 focus right 시 전원버튼 focus, 고정 라벨 focus 이동만"
14.Quick panel#142.0,14.Quick panel,142.0,하드키 동작,-,0.8,"back 시 퀵패널+알림창 노출+wifi focus, 화면 복귀·고정 focus. mutation 없음"
14.Quick panel#145.0,14.Quick panel,145.0,하드키 동작,-,0.85,"모바일데이터 OK 길게 시 네트워크설정 페이지 이동, 고정 화면 전환만"
14.Quick panel#146.0,14.Quick panel,146.0,하드키 동작,-,0.85,"소리모드 OK 길게 시 소리/진동 설정 이동, 고정 화면 전환만. mutation 없음"
14.Quick panel#149.0,14.Quick panel,149.0,하드키 동작,-,0.85,"자동회전 OK 길게 시 화면 자동회전 메뉴 이동, 고정 화면 전환만"
14.Quick panel#153.0,14.Quick panel,153.0,하드키 동작,-,0.85,"데이터절약 OK 길게 시 메뉴 페이지 이동, 고정 화면 전환만"
14.Quick panel#155.0,14.Quick panel,155.0,하드키 동작,-,0.85,"방해금지 OK 길게 시 모드 메뉴 페이지 이동, 고정 화면 전환만"
14.Quick panel#157.0,14.Quick panel,157.0,하드키 동작,-,0.85,"핫스팟 OK long 시 Wi-Fi 핫스팟 메뉴 이동, 고정 화면 전환만"
14.Quick panel#158.0,14.Quick panel,158.0,하드키 동작,-,0.82,"Quick Share OK 시 설정창 이동, 고정 화면 전환만. mutation 없음"
14.Quick panel#159.0,14.Quick panel,159.0,하드키 동작,-,0.8,"QR코드 스캐너 OK 시 스캔 페이지 이동, 고정 화면 전환만"
14.Quick panel#163.0,14.Quick panel,163.0,하드키 동작,-,0.82,"집중모드 OK 시 집중모드 페이지 이동, 고정 화면 전환만"
14.Quick panel#165.0,14.Quick panel,165.0,하드키 동작,-,0.82,"알람 OK 시 알람앱 페이지 이동, 고정 화면 전환만. mutation 없음"
14.Quick panel#167.0,14.Quick panel,167.0,하드키 동작,-,0.82,"수정버튼 OK 시 수정화면 전환+최초 focus 왼쪽상단, 화면전환·고정 focus"
14.Quick panel#168.0,14.Quick panel,168.0,하드키 동작,-,0.85,"수정화면 첫메뉴 up 시 뒤로가기 focus, 고정 라벨 focus 이동만"
14.Quick panel#169.0,14.Quick panel,169.0,하드키 동작,-,0.85,"수정화면 첫메뉴 down 시 아래 메뉴 focus 이동, 고정 focus 이동만"
14.Quick panel#170.0,14.Quick panel,170.0,하드키 동작,-,0.85,"수정화면 첫메뉴 right 시 오른쪽 메뉴 focus 이동, 고정 focus 이동만"
14.Quick panel#171.0,14.Quick panel,171.0,하드키 동작,-,0.82,"뒤로가기 focus OK 시 펼친 화면 복귀+최초 focus 첫번째, 화면복귀·고정 focus"
14.Quick panel#175.0,14.Quick panel,175.0,하드키 동작,popup_cancel,0.81,"전원버튼 focus+OK로 전원끄기창 노출. 긴급전화/전원끄기/다시시작 고정라벨 assert, 실제 전원조작 아닌 다이얼로그 노출만"
14.Quick panel#176.0,14.Quick panel,176.0,하드키 동작,-,0.88,"설정버튼 focus+OK로 설정 화면전환. mutation 없음, 단순 전환"
17.Safety Feature#54.0,17.Safety Feature,54.0,SOS 버튼,-,0.88,"설정>안심기능>SOS버튼 진입, 짧게/길게 누르기 고정 메뉴라벨+Default 노출 assert. mutation 없음"
17.Safety Feature#55.0,17.Safety Feature,55.0,SOS 버튼,-,0.8,"짧게 누르기 Tap 화면전환, 토글버튼+앱리스트 비활성 구조 노출. 고정요소 presence, 토글 조작 아님"
2.Touch lock#1.0,2.Touch lock,1.0,Screen Touch lock,popup_cancel,0.8,"# 하드키 길게로 터치락 팝업 노출+확인버튼 포커스. 고정요소 assert, 팝업 노출만"
23.Settings#90.0,23.Settings,90.0,보호자 등록,popup_cancel,0.8,"설정>안심기능>보호자 등록시 보호자 추가하기 팝업 노출. 고정 팝업 텍스트 assert, mutation 없음"
23.Settings#91.0,23.Settings,91.0,보호자 등록,popup_cancel,0.79,"보호자 등록>보호자 추가 Tap시 보호자 추가 팝업 노출. 팝업 텍스트 assert, mutation 없음"
23.Settings#123.0,23.Settings,123.0,SOS버튼,-,0.82,"설정>안심기능>측면버튼 진입, 길게/짧게 누르기 토글 On/Off 고정 라벨 표시. 조회만"
23.Settings#256.0,23.Settings,256.0,배터리,-,0.8,절전모드 화면의 사용 토글/예약/충전완료 사용중지 고정 메뉴라벨+default 노출. 조회만
23.Settings#273.0,23.Settings,273.0,소리 및 진동,-,0.86,"소리및진동>방해금지모드 화면 전환. 단순 화면전환, mutation 없음"
23.Settings#602.0,23.Settings,602.0,접근성 - 실시간 자막,-,0.82,실시간 자막 화면 전환+고정 메뉴라벨(언어/자막환경설정/욕설숨기기 등) 노출. 조회만
23.Settings#610.0,23.Settings,610.0,접근성 - 실시간 자막,-,0.82,자막 환경설정>추가옵션 Tap시 언어 메뉴(기본값/한국어/English) 고정 라벨 노출. 조회만
23.Settings#651.0,23.Settings,651.0,접근성 - 텍스트 음성 변환 출력,-,0.8,TTS 기본엔진 설정 Tap시 GoogleTTS 옵션 고정 메뉴라벨 노출. 화면 진입+조회만
23.Settings#972.0,23.Settings,972.0,시스템,-,0.78,터치 키보드 화면의 Gboard/Google음성입력 토글 On 고정 상태 조회. mutation 없음
23.Settings#977.0,23.Settings,977.0,시스템,-,0.74,"기본엔진 설정 화면의 7개 고정 메뉴라벨 조회. '설정변경 시 적용'은 부가서술, procedure는 진입만"
23.Settings#985.0,23.Settings,985.0,시스템,-,0.82,날짜및시간 화면의 자동시간설정/시간대/24시간형식 등 고정 메뉴라벨 조회. mutation 없음
23.Settings#987.0,23.Settings,987.0,시스템,-,0.84,여러 사용자 화면의 허용 On/Off(기본 Off) 고정 라벨 조회. mutation 없음
24.Launcher#1.0,24.Launcher,1.0,Focus,-,0.82,"볼륨키→볼륨바 노출+영역 포커스. 고정 UI 요소 노출, mutation 없음"
24.Launcher#2.0,24.Launcher,2.0,Focus,-,0.83,"볼륨바 위 소리모드 아이콘 포커스 이동. 고정요소 focus만, 입력·부작용 없음"
24.Launcher#6.0,24.Launcher,6.0,Focus - 홈 화면,-,0.78,"홈 좌측하단 앱 위치 focus. 특정 사용자데이터 무명, 위치 focus 노출만"
24.Launcher#7.0,24.Launcher,7.0,Focus - 홈 화면,-,0.8,최상단서 상키 무반응=focus 경계 assert 가능. mutation 없음
24.Launcher#10.0,24.Launcher,10.0,Focus - 홈 화면,-,0.78,우키3회→간편설정 페이지 이동+모든앱 focus. 화면전환+고정 focus
24.Launcher#11.0,24.Launcher,11.0,Focus - 홈 화면,-,0.8,"하키→앱서랍 이동. 화면전환 assert 가능, mutation 없음"
24.Launcher#16.0,24.Launcher,16.0,Focus - 앱 서랍,-,0.78,앱서랍 좌측최상단 앱 focus. 설치앱 위치 focus 노출만
24.Launcher#17.0,24.Launcher,17.0,Focus - 앱 서랍,-,0.82,앱서랍 우키→오른쪽앱 focus 이동. 위치 focus 이동만
24.Launcher#18.0,24.Launcher,18.0,Focus - 앱 서랍,-,0.82,최우측앱 이동 후 무반응=경계 assert. mutation 없음
24.Launcher#19.0,24.Launcher,19.0,Focus - 앱 서랍,-,0.82,최하단앱 이동 후 무반응. focus 경계 assert 가능
24.Launcher#20.0,24.Launcher,20.0,Focus - 앱 서랍,-,0.8,하단→상방 최상단앱 focus 경계. mutation 없는 스크롤 focus
24.Launcher#21.0,24.Launcher,21.0,Focus - 단축다이얼,-,0.72,단축다이얼 1-30 UI 격자 focus. 빈슬롯 격자는 등록데이터 무관 노출
24.Launcher#22.0,24.Launcher,22.0,Focus - 단축다이얼,-,0.72,"단축다이얼 1번 슬롯 focus+좌키 무반응. 슬롯 UI focus, 등록데이터 무관"
24.Launcher#23.0,24.Launcher,23.0,Focus - 단축다이얼,-,0.74,우키→31-60 UI focus 이동. 슬롯격자 페이지 focus만
24.Launcher#24.0,24.Launcher,24.0,Focus - 단축다이얼,-,0.72,우키3회 1-30/31-60/61-99 한칸씩+다음페이지 focus. 격자 focus 이동
24.Launcher#26.0,24.Launcher,26.0,Focus - 단축다이얼,-,0.78,우키 유지→최우측+다음페이지 이동. focus 이동만
24.Launcher#27.0,24.Launcher,27.0,Focus - 단축다이얼,-,0.78,상키→편집버튼 이동 후 무반응. 고정 편집버튼 focus 경계
24.Launcher#28.0,24.Launcher,28.0,Focus - 단축다이얼,-,0.8,"좌키 누름유지 무반응. focus 경계 assert, mutation 없음"
24.Launcher#29.0,24.Launcher,29.0,Focus - 단축다이얼,-,0.8,하키→최하단 스크롤+focus 유지. 스크롤 focus만
24.Launcher#30.0,24.Launcher,30.0,Focus - 단축다이얼,-,0.76,편집버튼 focus 후 하키→1-30 UI focus. 격자 focus 복귀만
24.Launcher#42.0,24.Launcher,42.0,Focus - 간편 설정 탭,-,0.8,간편설정 모든앱 focus. 고정 focus 노출만
24.Launcher#44.0,24.Launcher,44.0,Focus - 간편 설정 탭,-,0.78,상키→의료정보 앱 focus. 고정 시스템앱 라벨 focus
24.Launcher#45.0,24.Launcher,45.0,Focus - 간편 설정 탭,-,0.76,"의료정보 Page 이동. 화면전환 assert 가능, mutation 없음"
24.Launcher#46.0,24.Launcher,46.0,Focus - 간편 설정 탭,-,0.78,상키2회→만보기 앱 focus. 고정앱 라벨 focus
24.Launcher#47.0,24.Launcher,47.0,Focus - 간편 설정 탭,-,0.76,만보기 Page 이동. 화면전환 assert만
24.Launcher#48.0,24.Launcher,48.0,Focus - 간편 설정 탭,-,0.78,상키3회→나의 휴대폰 상태 focus. 고정 라벨 focus
24.Launcher#49.0,24.Launcher,49.0,Focus - 간편 설정 탭,-,0.76,쉬운설정 Page 이동. 화면전환 assert만
24.Launcher#50.0,24.Launcher,50.0,Focus - 간편 설정 탭,-,0.76,상키4회→사용데이터 focus. 고정 라벨 focus 노출
24.Launcher#144.0,24.Launcher,144.0,Focus - 홈 화면,-,0.78,구글서치바서 좌측하단 앱 focus. 고정위치 focus 노출
24.Launcher#145.0,24.Launcher,145.0,Focus - 홈 화면,-,0.78,하키→좌측최하단 앱 focus. 고정위치 focus 이동
24.Launcher#146.0,24.Launcher,146.0,Focus - 홈 화면,-,0.78,"최하단 하키→앱서랍 열림. 화면전환 assert, mutation 없음"
24.Launcher#147.0,24.Launcher,147.0,Focus - 홈 화면,-,0.82,최상단 상키 무반응. focus 경계 assert 가능
24.Launcher#153.0,24.Launcher,153.0,Focus - 홈 화면,popup_cancel,0.8,"시스템 기본 다수앱 홈, OK롱탭 말풍선 고정라벨+'앱정보' 포커스, mutation 없음"
24.Launcher#154.0,24.Launcher,154.0,Focus - 홈 화면,popup_cancel,0.8,"말풍선 하방향 포커스 설치삭제→위젯 고정라벨 이동만, 입력·부작용 없음"
24.Launcher#155.0,24.Launcher,155.0,Focus - 홈 화면,popup_cancel,0.76,"롱탭 후 뒤로/취소로 직전 시스템앱 포커스 복귀, 관찰·취소만 mutation 없음"
24.Launcher#158.0,24.Launcher,158.0,Focus - 앱 서랍,-,0.82,"앱서랍 방향키시 좌상단 시스템앱 포커스, 기본 앱 존재만 전제 관찰만"
24.Launcher#159.0,24.Launcher,159.0,Focus - 앱 서랍,-,0.82,"상방향시 서치바 포커스+경계 무반응, 고정 요소 assert mutation 없음"
24.Launcher#160.0,24.Launcher,160.0,Focus - 앱 서랍,-,0.82,"우방향 포커스 이동+경계 무반응, 관찰 전용 mutation 없음"
