sheet,tc_id,functionality,procedure,expected,csv_safety_prev,classification,reason,judge_method
24.Launcher,120.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap,1. 포토 슬라이드 쇼 안내 팝업 발생 안된다. 2. 사진첩 화면 노출되고 저장된 사진 Preview 화면 리스트업 된다,INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,121.0,포토 슬라이드 쇼,홈 화면 > 포토 슬라이드 쇼페이지 > 편집,"1. 사진 선택화면으로 전환된다 2. 상단부터 가장 최근사진으로 갤러리 사진 노출된다. (사진만 가능, 동영상 노출 안됨) (최대 10개까지 가능, 8초간 노출)",INPUT_REQUIRED,REVIEW_QUEUE,cue: pre fixture 전제,cue_auto
24.Launcher,122.0,포토 슬라이드 쇼,홈 화면 > 포토 슬라이드 쇼 페이지 > 화면 대기,1. 첫 번째 사진부터 노출되며 10번째 사진까지 8초마다 사진 변경된다.,INPUT_REQUIRED,REVIEW_QUEUE,표본검사: 슬라이드쇼 자동 전환 관찰 — fixture(사진 등록)+시간 의존,human_confirmed
24.Launcher,123.0,앱서랍,1. 홈 화면 > 앱추가 버튼 Tap,1. 앱 서랍으로 진입된다 2. 앱 리스트 노출 된다,NAVIGATION_ONLY,REVIEW_QUEUE,cue: pre fixture 전제,cue_auto
24.Launcher,125.0,앱서랍,1. 홈 화면 > 앱추가 버튼 Tap 2. 앱서랍에서 임의의 앱 Tap 3. 홈화면에 추가 Tap,1. 선택한 앱이 홈화면에 등록된다,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,127.0,앱서랍,1. 앱서랍 진입 후 임의의 앱 길게 Tap 2. 홈 화면에 추가 Tap,"1. 화면 하단에 ""홈 화면에 빈공간이 없습니다"" 토스트 팝업 노출 된다",INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,128.0,앱서랍,1. 앱서랍 진입 후 시계앱 길게 Tap 2. 홈 화면에 추가 Tap,"1. 화면 하단에 ""이 앱은 이미 홈 화면에 등록되어 있습니다."" 토스트 팝업 노출 된다",INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,133.0,앱서랍,1. 앱서랍 진입 후 임의의 앱 길게 Tap 2. 즐겨찾기 버튼에 등록 Tap,1. 즐겨찾기 등록 여부 팝업창 노출된다 2. 취소/확인 버튼 노출된다,INPUT_REQUIRED,KEEP,"즐겨찾기 팝업 노출 observe — 확인 금지, 취소 이탈 cleanup",human_confirmed
24.Launcher,134.0,앱서랍,1. 앱서랍 진입 후 임의의 앱 길게 Tap 2. 즐겨찾기 버튼에 등록 Tap 3. 취소 버튼 Tap,1. 팝업창 사라지고 이전 화면 노출된다,INPUT_REQUIRED,KEEP,팝업 취소 경로 명시 — no-save,human_confirmed
24.Launcher,135.0,앱서랍,1. 앱서랍 진입 후 임의의 앱 길게 Tap 2. 즐겨찾기 버튼에 등록 Tap 3. 확인 버튼 Tap,"1. 선택한 앱이 즐겨찾기 버튼에 등록된다 2. 앱서랍 하단에 ""즐겨찾기 버튼에 [Appname]을(를) 등록하였습니다."" 토스트 팝업창 발생된다",INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,169.0,홈화면 확인,1. 홈화면 첫 번째 페이지 확인 2. 홈화면에서 오르쪽에서 왼쪽으로 스와이프하여 다음 페이지로 이동,"1. 좌측 상단부터 우측 하단까지 12개 앱 등록 가능 해야함 2. 두번째 페이지의 경우도 동일하게 12개 앱 등록 가능 해야함 3. 앱 다운로드 시 첫번째 페이지부터 생성되며, 첫번째 페이지가 가득찬 경우 두번째 페이지 상단부터 생성 되어야 함",INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation; 시스템/외부 mutation; 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,171.0,홈화면 확인,1. 홈화면에서 오르쪽에서 왼쪽으로 스와이프하여 다음 페이지로 이동 2. 두번째 페이지에서 오른쪽에서 왼쪽으로 스와이프 하여 다음 페이지 이동,1. 2페이지에서 스와이프 동작 처리 안됨 (해당 페이지 유지됨),INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,181.0,홈 설정,홈 화면 길게 누르기 > 홈 설정 > 구글 디스커버 On,홈 화면 가장 좌측 페이지에 구글 디스커버 스크린 생성됨.,INPUT_REQUIRED,EXCLUDE,직독: mutation·외부효과·환경제어가 검증 주제 — observe 분리 불가,human_confirmed
24.Launcher,182.0,홈화면 UI,음성녹음중 / 카메라 사용중,오른쪽 상단에 녹색 점 표시됨 (앱 종료후에는 점 표시되면 안됨),READ_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 미디어 캡처 = 영속 mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,183.0,홈화면 UI,1. 잠금화면 상단 인디케이터 바 확인 2. 홈화면 > 퀵셋팅 화면> 상단 인디테이터바 확인,1. 사업자 표시 'SKT'로 표시되어야 함 2. 사업자 표시 'U+'로 표시되어야 함 3. 사엽자 표시 KT로 표시되어야 함,READ_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,184.0,홈화면 UI,1. 홈화면 1st page 확인 2. 홈화면 2nd page 확인,"1. 1st page - Google Search widget (4x1) , Gmail , 갤러리 , Play 스토어 , 모드 전환 , 홈화면 최하단 : 전화 , 메시지 , Chrome , 카메라 위치 확인 2. 2nd page - Google , SKT folder 생성 및 앱 확인",READ_ONLY,KEEP,carrier(SKT) blocking pre — 홈 page 구성 observe,human_confirmed
24.Launcher,185.0,홈화면 UI,1. 홈화면 1st page 확인 2. 홈화면 2nd page 확인,"1. 1st page - Google Search widget (4x1) , Gmail , 갤러리 , Play 스토어 , 모드 전환 , 홈화면 최하단 : 전화 , 메시지 , Chrome , 카메라 위치 확인 2. 2nd page - Google folder 및 당신의 U+ (고객센터) 앱 확인",READ_ONLY,KEEP,carrier(LGU+) blocking pre — 홈 page 구성 observe,human_confirmed
24.Launcher,186.0,홈화면,홈화면 / 앱화면에서 집중모드로 선택한 앱 확인,집중모드로 선택한 앱이 회색으로 표시되어야 함,NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
