sheet,tc_id,functionality,procedure,expected,classification,cue,judge_method
1.Basic principle,139.0,Landscape Mode,1. 설정 > 소리 및 진동 > 기본 알림 소리 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE_CANDIDATE_UNREVIEWED,진동,cue_auto
1.Basic principle,140.0,Landscape Mode,1. 설정 > 소리 및 진동 > 기본 알람 소리 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE_CANDIDATE_UNREVIEWED,진동,cue_auto
1.Basic principle,141.0,Landscape Mode,1. 설정 > 디스플레이 > 잠금 화면 > 개인 정보 보호 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,142.0,Landscape Mode,1. 설정 > 디스플레이 > 잠금 화면 > 잠금 화면에 텍스트 추가 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,143.0,Landscape Mode,1. 설정 > 접근성 > 텍스트 음성 변환 출력 > 언어 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,144.0,Landscape Mode,1. 설정 > 보안 > 보안 및 개인 정보 보호 더보기 > Android 세이프 브라우징 > 실시간 위협 방지 사용 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,146.0,Landscape Mode,1. 설정 > 보안 > 보안 및 개인 정보 보호 더보기 > 앱 고정 > 앱 고정 사용 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,147.0,Landscape Mode,1. 설정 > 개인 정보 보호 > 잠금 화면에 표시할 알림 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,148.0,Landscape Mode,1. 설정 > 위치 > 위치 사용 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,150.0,Landscape Mode,1. 설정 > 시스템 > 키보드 > 맞춤법 검사기 > 기본 맞춤법 검사기 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,151.0,Landscape Mode,1. 설정 > 시스템 > 키보드 > 포인터 속도 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,152.0,Landscape Mode,1. 설정 > 시스템 > 날짜 및 시간 > 자동으로 시간 설정 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,153.0,Landscape Mode,1. 설정 > 휴대전화 정보 > 기기이름 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,155.0,Landscape Mode,1. 설정 > 휴대전화 정보 > IMEI Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
10.Weather widget,7.0,기본 화면,1. 폴더를 열고 홈 화면에 진입한다. 2. 날씨 위젯을 확인 한다,1. 현재 위치 / 현재 온도 / 날씨 상태 / 미세먼지 상태 / 날씨 일러스트가 노출된다.,REVIEW_QUEUE,cue 무해,human_confirmed
10.Weather widget,8.0,기본 화면,,1. 날씨 위젯은 매시간 마다 자동으로 갱신된다. (매 시간 정시 또는 사용자 확인 이후 1시간 단위인지 문의상태),EXCLUDE,cue 무해,human_confirmed
10.Weather widget,9.0,위쳇 선택 시 동작 확인,1. 날씨 위젯을 Tap 한다.,"1. ""날씨 정보를 불러오고 있습니다"" 문구 노출됨 2. 안내문구 위에 로딩 아이콘(애니메이션 처리)이 업데이트하는동안 노출된다.",REVIEW_QUEUE,시스템,human_confirmed
10.Weather widget,10.0,위쳇 선택 시 동작 확인,1. 날씨 위젯을 Tap 한다. 2. 업데이트 완료에 따른 동작 확인,"1. ""날씨 정보가 업데이트 되었습니다."" 토스트 팝업 발생된다 2. 업데이트 된 내용이 날씨 위젯에 노출된다.",REVIEW_QUEUE,시스템,human_confirmed
10.Weather widget,11.0,위쳇 선택 시 동작 확인,1. 날씨 위젯을 Tap 한다. 2. 업데이트 완료 후 다시 Tap 한다,"1. ""방금 전 업데이트 되었습니다. 잠시 후 다시 시도해주세요."" 토스트 팝업 발생된다 2. 날씨 위젯 영역 터치시 15분 이후 업데이트 가능하다.",EXCLUDE_CANDIDATE_UNREVIEWED,시스템,cue_auto
10.Weather widget,12.0,위쳇 선택 시 동작 확인,,"1. ""날씨 정보를 불러오고 있습니다"" 문구 노출됨 2. 안내문구 위에 로딩 아이콘(애니메이션 처리)이 업데이트하는동안 노출된다. 3. ""날씨 정보가 업데이트 되었습니다."" 토스트 팝업 발생된다 4. 업데이트 된 내용이 날씨 위젯에 노출된다.",EXCLUDE,시스템,human_confirmed
10.Weather widget,13.0,위쳇 선택 시 동작 확인,1. 날씨별 위젯 GUI 확인 Case 추가 필요,1. MMI 1.3 Weather widget GUI 확인 방법 체크 필요,EXCLUDE,cue 무해,human_confirmed
10.Weather widget,32.0,미세먼지 기본 화면,1. 폴더 Open 상태에서 날씨 위젯 확인 한다,"1. 날씨 위젯 우측 ""미세먼지 좋음"" 문구가 노출된다.",EXCLUDE,cue 무해,human_confirmed
10.Weather widget,33.0,미세먼지 기본 화면,1. 폴더 Open 상태에서 날씨 위젯 확인 한다,"1. 날씨 위젯 우측 ""미세먼지 보통"" 문구가 노출된다.",EXCLUDE,cue 무해,human_confirmed
10.Weather widget,34.0,미세먼지 기본 화면,1. 폴더 Open 상태에서 날씨 위젯 확인 한다,"1. 날씨 위젯 우측 ""미세먼지 나쁨"" 문구가 노출된다.",EXCLUDE,cue 무해,human_confirmed
10.Weather widget,35.0,미세먼지 기본 화면,1. 폴더 Open 상태에서 날씨 위젯 확인 한다,"1. 날씨 위젯 우측 ""미세먼지 최악"" 상태를 나타내는 문구 노출 된다",EXCLUDE,cue 무해,human_confirmed
10.Weather widget,36.0,데이터 연결 해제 시 상태 확인,1. 날씨 위젯을 확인한다,1. 날씨 위젯이 Dimmed 되어 노출 된다,REVIEW_QUEUE,cue 무해,human_confirmed
10.Weather widget,38.0,데이터 연결 해제 시 상태 확인,"1. 날씨 위젯을 Tap 한다. 2. 데이터 활성화 팝업창에서 ""취소"" 버튼 선택 한다",1. 팝업 사라지고 데이터 비 활성화 상태 유지된다,EXCLUDE_CANDIDATE_UNREVIEWED,토글,cue_auto
10.Weather widget,40.0,Location,날씨 위젯,"1. 날씨 위젯 어둡게 노출된다. 1-1. ""날씨 정보를 불러올 수 없습니다."" 문구 노출된다.",REVIEW_QUEUE,cue 무해,human_confirmed
10.Weather widget,41.0,Location,날씨 위젯 영역 터치,1. 위치 정보 활성화를 위한 팝업 발생한다. 1-1. '확인' 버튼 선택시 설정 > 위치로 이동된다.,EXCLUDE_CANDIDATE_UNREVIEWED,토글; 이동/복사,cue_auto
10.Weather widget,42.0,Location,날씨 위젯 영역 터치,1. 위치 정보 활성화를 위한 팝업 발생한다. 1-1. '취소' 버튼 선택 시 팝업이 닫히며 여전히 날씨 위젯은 어둡게 노출된다.,EXCLUDE_CANDIDATE_UNREVIEWED,토글,cue_auto
10.Weather widget,43.0,Data Off & Location Off,"1. 날씨 위젯을 Tap 한다. 2. 데이터 활성화 팝업창에서 ""취소"" 버튼 선택 한다",1. 팝업 사라지고 데이터 비 활성화 상태 유지된다 2. 날씨 위젯 Dimmed 처리 상태 유지된다,EXCLUDE_CANDIDATE_UNREVIEWED,토글,cue_auto
10.Weather widget,46.0,Data Off & Location Off,1. 날씨 위젯을 Tap 한다.,"1. 위치 활성화 팝업창이 노출된다 2. ""날씨 위젯을 사용하기 위해 위치 정보 활성화가 필요합니다"" 팝업 및 취소/확인 버튼 노출된다",REVIEW_QUEUE,토글,human_confirmed
10.Weather widget,47.0,Data Off & Location Off,"1. 날씨 위젯을 Tap 한다. 2. 위치 활성화 팝업창에서 ""취소"" 버튼 선택 한다",1. 팝업 사라지고 위치 비 활성화 상태 유지된다 2. 날씨 위젯 Dimmed 처리 유지된다,EXCLUDE_CANDIDATE_UNREVIEWED,토글,cue_auto
10.Weather widget,48.0,날씨 위젯,셋업위자드 완료 후 간편 모드 홈화면에서 현재 위치 정보 확인,현재 위치가 정확하게 표시됨,EXCLUDE,cue 무해,human_confirmed
10.Weather widget,49.0,Data Off & Location Off,"1. 날씨 위젯을 Tap 한다. 2. 위치 활성화 팝업창에서 ""확인"" 버튼 선택 한다 3. 위치 설정 메뉴에서 위치 사용 On 설정한다 4. 홈화면 이동 후 날씨 위젯 확인한다",1. Setting의 위치 설정 메뉴로 이동한다 2. 위치 사용 On 설정된다 3. 홈화면 날씨 위젯 활성화 되어 정보 노출된다,EXCLUDE_CANDIDATE_UNREVIEWED,토글; 이동/복사,cue_auto
12.Setup Wizard,1.0,시작화면,1. 셋업위자드 > 언어 탭 2. 셋업위자드 > 언어 탭 > 한국어 3. 셋업위자드 > 언어 탭 > 영어 4. 3셋업위자드 > 언어 탭 > 취소,1. 언어 목록 표시 (한국어와 영어만 지원) 2. 한국어 설정됨 3. 영어 설정됨 4. 이전 화면,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,4.0,시작화면 - 비상전화,1. 셋업위자드 > 언어 탭 영어 변경 > 셋업위자드 > 비상전화 영문 으로 문구 표기 확인,1. 긴급전화 'Emergency Call' 긴급번호 'Emergency numbers',EXCLUDE_CANDIDATE_UNREVIEWED,변경,cue_auto
12.Setup Wizard,5.0,시작화면 - 비상전화,1. 셋업위자드 > 언어 탭 영어 변경 > 셋업위자드 > 비상전화 > 긴급번호 진입,1. 긴급번호 영문으로 표기 되어있는지 확인,EXCLUDE_CANDIDATE_UNREVIEWED,변경,cue_auto
12.Setup Wizard,7.0,시작화면,1. 셋업위자드 > 보기설정,1. 보기 설정 list 표시 - 디스플레이 크기 및 텍스트 - 확대 - 텍스트 읽어주기 - TalkBack,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,10.0,시작화면,셋업위자드 > 보기설정 > 텍스트 읽어주기 > 텍스트 읽어주기 바로가기 On > 스피커 아이콘 눌러서 Play,화면에 표시된 텍스트를 읽어야 함,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,26.0,구글서비스,1.구글서비스 > 개인정보처리방침 및 위치서비스 약관 탭 2.구글서비스 > 기본 기기 백업 사용 / 위치 사용 / 검색 허용 / 사용 및 진단 데이터 보내기 3.구글서비스 > 동의,1. 약관 내용 표시됨 2. On/Off 동작확인 3. 구글 서비스 사용 동의되어 다음 화면으로 전환된다.,EXCLUDE,토글,human_confirmed
12.Setup Wizard,28.0,구글서비스,1. 구글서비스 > 위치 사용 Off 2. 위치 사용 Off > 셋업위자드 설정 완료 > 퀵세팅 > 위치 타일을 눌러 위치 켬 > 위치 정확도 확인,위치 정확도 Off 상태,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,32.0,약관 동의,1. 약관동의 > 개인정보 수집/이용 동의 보기 2. 약관동의 > 위치기반 서비스 이용 동의 보기 3. 약관동의 > 소프트웨어 업데이트 동의 보기,1. 약관 정상적으로 표시 2. 약관 정상적으로 표시 3. 약관 정상적으로 표시,EXCLUDE_CANDIDATE_UNREVIEWED,시스템,cue_auto
12.Setup Wizard,33.0,약관 동의,1. 약관동의 > 위치기반 서비스 이용 동의 문구 확인,2.문구 표기 되어있는지 확인 - KR '위치기반 서비스 이용 동의' - EN 'Location service agreemant' 2.'2.2 'Location service agreemant',EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,34.0,개인위치정보 제공 서비스,1. 긴급 구조 기관 요청 시의 개인 위치정보 제공 서비스 2. 동의 버튼 선택,1. 긴급호 전화 후 구조기관에서 위치 조회 가능함,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,36.0,홈 설정,홈 설정 > 일반 홈,1. 일반 홈에 대한 이미지 노출된다. 2. 셋업위자드 완료 후 일반 홈으로 설정되어있다.,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,37.0,홈 설정,홈 설정 > 간편 홈,1. 간편 홈에 대한 이미지 노출된다. 2. 셋업위자드 완료 후 간편 홈으로 설정되어있다.,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,38.0,홈 설정,홈 설정 페이지 순서대로 확인 및 문구 버튼 변경,"1.'홈 설정 ' 2..'일반 홈과, 주요 기능을 크고 쉽게 보여주는 간편 홈 중 선택할 수 있습니다.' 3.'일반 홈' (일반 홈 선택시 이미지 표기 확인 ) 4.'간편 홈' (간편 홈 선택시 이미지 표기 확인) 5.홈 화면의 모드전환 버튼을 사용하여 모드 간 변환을 할 수 있습니다.",EXCLUDE_CANDIDATE_UNREVIEWED,변경,cue_auto
12.Setup Wizard,61.0,포커싱 동작,1. 셋업위자드 약관 동의 화면 > 방향키 버튼 or OK 버튼 2. 개인정보 수집/이용 동의 메뉴에 포커싱 > OK 버튼 or Tap 3. 소프트웨어 업데이트 동의 메뉴에 포커싱 > OK 버튼 or Tap,1. 포커싱이 활성화됨 2. 개인 정보 관련 내용이 표시되며 위쪽/ 아래쪽 버튼으로 스크롤 가능함 3. 소프트웨어 업데이트 동의 관련 내용이 표시되며 위쪽/ 아래쪽 버튼으로 스크롤 가능함,EXCLUDE_CANDIDATE_UNREVIEWED,시스템; 토글,cue_auto
12.Setup Wizard,63.0,,1.셋업위자드 마지막 단계 > 문구 확인 2.셋업위자드 마지막 단계 > 문구 확인 밑 버튼 문구 확인,1.'준비되었습니다' 문구 확인 2.'완료' 문구 확인,EXCLUDE,cue 무해,human_confirmed
12.Setup Wizard,64.0,,셋업위자드 마지막 단계 > 완료 버튼 > 진입,1.홈 화면 준비 중 문구 확인,EXCLUDE,cue 무해,human_confirmed
15.Lockscreen,2.0,화면 잠금 - 스와이프,1. 폴더 오픈하여 LCD On 한다 2. Lockscreen 확인 후 Up 스와이프 하여 Lockscreen 해제한다,1. Lockscreen 해제되고 홈화면 노출된다,REVIEW_QUEUE,토글,human_confirmed
15.Lockscreen,9.0,화면 잠금 - 패턴,1. 폴더 오픈하여 LCD On 한다 2. Lockscreen 확인 후 Up 스와이프 한다.,1. 패턴 입력 화면이 검은색 반투명 효과로 표시되는지 확인(#5656참고),REVIEW_QUEUE,cue 무해,human_confirmed
15.Lockscreen,14.0,화면 잠금 - 패턴,1. 폴더 오픈하여 LCD On 한다 2. Lockscreen 확인 후 Up 스와이프 한다 3. 긴급 전화 버튼 Tap 한다,1. 긴급 전화 입력 화면으로 전환된다,EXCLUDE,cue 무해,human_confirmed
15.Lockscreen,27.0,화면 잠금 - Password,1. 폴더를 열고 잠금 화면에서 (종료/ 뒤로 가기/ 취소/ 숫자키 제외) 버튼 누름 2. 패스워드 입력 필드에 포커싱 된 상태에서 숫자키 버튼 누름 3. 패스워드 입력 필드에 영문 입력된 상태에서 화면 터치,1. 패스워드 입력 필드에 포커싱 됨 2. 영문이 입력됨 3. 키패드가 표시됨,REVIEW_QUEUE,input,cue_auto
15.Lockscreen,36.0,화면 잠금 - Password,1. 폴더 오픈하여 LCD On 한다 2. Lockscreen 확인 후 Up 스와이프 한다 3. 올바른 Password 입력 후 키패드 다음 버튼 Tap,1. Password 입력 화면 및 긴급전화 버튼 노출된다 2. 올바른 Password 입력 시 Lockscreen 해제 후 홈화면 노출된다,REVIEW_QUEUE,토글,human_confirmed
15.Lockscreen,38.0,화면 잠금 - Password,1. 폴더 오픈하여 LCD On 한다 2. Lockscreen 확인 후 Up 스와이프 한다 3. 올바르지 않은 Password 입력 후 키패드 다음 버튼 Tap,1. Password 입력 창 및 긴급전화 버튼 노출된다 2. 올바르지 않은 Password 시 실패 문구 노출된다. 4. 5회 실패 시 30초 후 재입력 팝업 노출된다. (5자 이상),REVIEW_QUEUE,input,cue_auto
15.Lockscreen,40.0,화면 잠금 - Password,1. 폴더 오픈하여 LCD On 한다 2. Lockscreen 확인 후 Up 스와이프 한다 3. 긴급 전화 버튼 Tap 한다,1. 긴급 전화 입력 화면으로 전환된다,EXCLUDE,cue 무해,human_confirmed
15.Lockscreen,45.0,화면 잠금- 잠금방식관계없음,일반 충전기를 삽입 > 잠금 화면 확인,"""급속충전'이 아닌 ""충전중""으로 표시되어야 함",EXCLUDE,시간/전원,human_confirmed
15.Lockscreen,46.0,잠금 화면 알림 - 모든 알림 내용 표시,설정 > 디스플레이 > 잠금 화면 > 개인 정보 보호 > 모든 알림 내용 표시 선택,"잠금 화면에서 알림 발생시 알림발생한 앱, 알림 내용 노출되어야 함",REVIEW_QUEUE,fixture pre,cue_auto
