index,tc_id,sheet,verdict,salvage_pattern,blocker,reason
10,58.0,1.Basic principle,DEMOTE_DEVICE,none,volume value assert + volume mutation + sound-mode entry,expected2 'Volume 1단계 Down 조절' asserts a system volume VALUE change; procedure mutates volume via Up/Down keys and enters sound mode via OK. observe_split removing the value assert still leaves mandatory volume mutation and dependence on initial volume state.
11,59.0,1.Basic principle,DEMOTE_DEVICE,none,volume mutation + sound-mode selection side-effect,Same as 54.0 (Vol Down path): volume mutation inherent to summoning the panel + OK enters sound-mode selector side-effect. selection_gated cannot eliminate the volume mutation.
12,60.0,1.Basic principle,DEMOTE_DEVICE,none,persistent volume mutation to max (irreversible state is the assert),expected2 'Volume이 Max까지 설정' is an explicit persistent volume mutation to maximum and is the core assert. Long-press forces volume to MAX within the run; observe_split cannot salvage because the meaningful assertion IS the irreversible volume-value state.
13,61.0,1.Basic principle,DEMOTE_DEVICE,none,persistent ringer-mode mutation (vibrate),expected2 '진동으로 설정' is a persistent ringer-mode mutation (sound->vibrate) and is the core assert. Long-press forces ringer mode change; observe_split cannot remove the mandatory audio-mode mutation.
14,66.0,1.Basic principle,DEMOTE_FIXTURE,none,PIN-lock fixture must pre-exist (lock-config mutation) + time-based hide,Precondition '화면 잠금 상태 (PIN)' requires a pre-existing PIN lock fixture (high-risk lock-config mutation per LSC ledger). Expected also includes time-based Hidden processing (timing). The gating blocker is the PIN-lock fixture that must be set up before the clean run.
15,12.0,11.Hard Key,DEMOTE_DEVICE,none,non-resettable first-entry one-shot state + guardian-registration settings/consent mutation flow,Precondition '최초 진입 시' is a one-shot first-entry state not deterministically resettable device-free; the flow drives into guardian-registration (등록하기 -> 보호자 등록 -> 동의 -> 보호자 등록 페이지) = consent + settings mutation chain. SOS-button mapping is hardware-uncertain. selection_gated cannot fix the non-resettable first-entry state or the deep settings mutation flow.
16,18.0,11.Hard Key,SALVAGE_CONFIRMED,observe_split,—,"Home-key navigation is deterministic. observe_split splits the implicit app-launch prestate into an explicit device-free compose step (launch a known THOR2 app via component/deeplink) then presses Home and asserts the launcher landing. No fixture data, no persistent mutation, no carrier dependency; the home screen is a singular fixed observable."
17,20.0,11.Hard Key,DEMOTE_DEVICE,none,—,"Original defect is the ambiguous 'previous screen' target. observe_split resolves it: compose a deterministic 2-level nav (open known app -> enter a known sub-screen), then Back asserts return to the pinned parent the compose step established. No fixture, no mutation, no carrier; the back-target is pinnable because the navigation stack is composed by us."
18,26.0,11.Hard Key,DEMOTE_DEVICE,none,—,"Clear/cancel behaviors. Step1 (back) is observe; steps 2-3 (delete last char / delete all on long press) operate on ephemeral text in an input field reachable in a clean app (e.g. search/compose field). Text in an unsaved field is transient, not a persistent mutation; field value is readable via UI dump. No fixture, no carrier."
19,39.0,11.Hard Key,DEMOTE_DEVICE,none,Entry target ('app or system') non-deterministic; landing-screen selector binding unresolvable without device confirmation.,Expected is 'enters an app OR the system' - the entry target is intrinsically indeterminate and depends on whatever focus point exists. The destination binding is fundamentally unresolved; observe_split cannot pin what gets entered because the spec itself leaves the target open. No fixed presence/focus assert can be designed device-free.
20,49.0,11.Hard Key,SALVAGE_CONFIRMED,selection_gated,—,"Quick panel reachable via deterministic swipe. Step1 arrow-key focus move is a clean focus_state contract. Step2 OK on '펼치기' expands the panel - a non-persistent, self-resetting view state (no save/delete/setting toggle), so requirement 3 holds. The expanded panel is a single element-presence assert. No fixture, no carrier."
21,51.0,11.Hard Key,DEMOTE_DEVICE,none,Post-transition split-layout elements (notification area + WiFi focus) need selector binding that is unresolvable without device; full-screen-panel prestate hard to compose deterministically.,"Precondition requires a deeper composed 'full-screen quick panel' prestate, and expected asserts a multi-element layout reconfiguration (full->split mode transition, notification area created, WiFi focus). Unlike a simple focus contract this requires binding several post-transition layout elements that are not pinnable device-free; the layout-transition target binding is unresolved. Adversarial default applies."
22,59.0,11.Hard Key,DEMOTE_FIXTURE,none,Requires pre-loaded message fixture data for the selectable message item.,Precondition '메세지가 활성화 되어 있다' requires pre-existing message data; the OK-long-press selection-mode checkmark and the trash/more-icon activation all operate on a populated message list. Requires fixture data to reproduce.
23,60.0,11.Hard Key,DEMOTE_FIXTURE,none,Requires pre-loaded message fixture data for the selectable message item.,Same as 59.0: precondition 'message active' requires pre-existing message data for the OK-long-press check toggle and clear-button uncheck to be exercisable. Fixture-dependent.
24,66.0,11.Hard Key,SALVAGE_CONFIRMED,selection_gated,—,"Contacts magnifier OK opens the search box regardless of whether contacts exist (no fixture needed to open search), and left-arrow activates the back button. Expected asserts search-box-present and back-button-active - both element-presence/focus contracts, not IME geometry, so the prior IME-nondeterminism concern is over-cautious. No mutation, no carrier."
25,67.0,11.Hard Key,DEMOTE_FIXTURE,none,Related-results list requires pre-existing contact fixture data matching the typed query.,Expected step2 '해당 문자와 연관되어 있는 리스트가 제공' requires contacts matching the typed text to exist; the result list and its down-arrow activation are unverifiable without contact fixture data. Fixture-dependent.
26,68.0,11.Hard Key,DEMOTE_FIXTURE,none,Related-results list requires pre-existing contact fixture data matching the typed query.,"Same dependency as 67.0: the 'related list' (expected step2) and the down-arrow list activation (step4) require matching contacts to exist. Although the X-button appearing after typing is transient_input device-free, the TC's expected list assertions cannot be verified without contact fixture data."
27,73.0,11.Hard Key,DEMOTE_FIXTURE,none,Requires a pre-populated deletable list (fixture items) for selection/checkbox to be exercisable.,Precondition requires a list page populated with deletable items (multi-select deletable list with active trash icon). The delete-mode entry and checkbox activation presuppose list items to select. Requires fixture data even though actual deletion is not executed.
28,77.0,11.Hard Key,DEMOTE_DEVICE,none,Destination page non-deterministic ('activated menu'); landing selector binding unresolvable; toggle-button prestate unspecified.,"Expected '활성화된 메뉴에 대한 페이지로 이동' has an indeterminate destination (whichever menu happens to be active), and the precondition presupposes an unspecified region-divided toggle button. observe_split cannot pin the landing page because the target is not fixed; the destination binding is unresolved."
29,91.0,11.Hard Key,DEMOTE_DEVICE,none,Focus target element ('키') undefined/garbled - no selector or focus contract designable; pedometer content non-deterministic.,"Expected '초점포인트가 키 로 이동' has an ambiguous/garbled target element ('키') with no defined selector, and the pedometer screen content is non-deterministic. A focus_state contract cannot be designed when the focus target itself is undefined; binding unresolved."
30,39.0,12.Setup Wizard,DEMOTE_DEVICE,none,Setup-wizard SOS-popup prestate not deterministically reachable device-free; '등록하기' branch risks persistent setup mutation.,"The SOS-setup popup lives inside a one-time Setup Wizard onboarding flow; reaching that popup deterministically device-free is not pinnable, and prior_reason itself flags the '등록하기' branch as a possible mutation path (registers 안심 기능). The skip branch ('준비되었습니다' literal) is clean but the prestate cannot be composed deterministically and the register branch risks persistent setup state. Adversarial default applies."
31,3.0,14.Quick panel,EXCLUDE,none,—,"Swipe-down-from-top is a deterministic gesture and the quick panel landing is a fixed UI element. observe_split correctly drops the un-assertable fade-out animation axis and asserts the panel-present end state. No fixture, no mutation, no carrier; clean app reachable."
32,7.0,14.Quick panel,DEMOTE_DEVICE,none,drag-and-drop 재배치 verifier 비결정 + draggable 아이콘 selector binding 근본 미해결 + 영속 레이아웃 mutation,"핵심 expected = Long탭+드래그로 퀵패널 아이콘 추가/삭제/정렬. observe_split로 편집화면 진입만 떼어내도 원 결함(드래그 재배치)은 미해소 → req5 실패. 드래그 결과는 비결정 verifier이고 draggable 아이콘 binding 미해결, 게다가 영속 레이아웃 mutation(아이콘 배치 변경) 동반. PENDING_F0로도 드래그 verifier 고정 불가."
33,37.0,14.Quick panel,EXCLUDE,none,물리 LED 하드웨어 외부효과 + 색상(파란색) 시각 전용 verifier,손전등 ON = 물리 LED 점등(하드웨어 외부효과) + 아이콘 배경색(파란색) 시각 전용 verifier. element-presence/focus 계약으로 환원 불가 — 색상은 screenshot 시각 판정. EXCLUDE 범주(물리 하드웨어 + 시각 품질 전용).
34,38.0,14.Quick panel,EXCLUDE,none,물리 LED 하드웨어 + 색상(하얀색) 시각 전용 verifier + 사전 켜짐 상태 조작,손전등 OFF = 물리 LED + 색상(하얀색) 시각 verifier에 더해 precondition '손전등 켜짐'으로 사전 LED-on 조작 필요. 물리 하드웨어 + 색상 전용으로 33과 동일하게 EXCLUDE.
35,68.0,14.Quick panel,DEMOTE_DEVICE,none,first-run 초기설정 화면 비결정 상태 + Quick Share 토글 ON mutation + 구글 계정 로그인 분기,"Quick Share OFF→탭 = Quick Share 토글 ON(mutation) + 최초 사용시에만 뜨는 초기설정 화면(first-run 상태 의존, 재현 불가 → req1 실패). expected 4분기 중 '프로필 아이콘→구글 로그인'은 계정 의존. observe_split로 첫 화면 떼어도 토글 mutation·first-run 상태·계정분기 미해소."
36,87.0,14.Quick panel,DEMOTE_DEVICE,none,—,녹화 시작 아이콘 탭 시 '녹화를 시작하시겠습니까?' + 개인정보 경고 confirm 팝업이 녹화 개시 前 노출(commit 前 gate). 가변 indicator/실제 녹화(mutation) axis는 강등하고 팝업 literal만 observe→취소. clean 앱서 결정적 도달·carrier 무관. 이미 confirmed된 CLK_038 popup_cancel과 동형.
37,148.0,14.Quick panel,SALVAGE_CONFIRMED,popup_cancel,—,화면 터치 잠금 focus>OK = '터치 잠금 켜기' confirm 팝업이 활성화 commit 前 gate로 노출. 팝업 고정 literal observe 후 취소 = 터치잠금 미적용(mutation 0). clean 도달·결정적·carrier 무관. confirm 다이얼로그형 = 41 토글직접탭과 달리 commit이 팝업으로 gated.
38,152.0,14.Quick panel,SALVAGE_CONFIRMED,popup_cancel,—,데이터 절약 focus>OK = '데이터 절약 모드를 사용 설정 하시겠습니까?' confirm 팝업이 토글 commit 前 노출. 팝업 자체는 carrier/SIM 무관 단순 confirm 다이얼로그. literal observe 후 취소 = 절약모드 미토글(mutation 0).
39,161.0,14.Quick panel,SALVAGE_CONFIRMED,popup_cancel,—,화면 녹화 focus>OK = '녹화를 시작 하겠습니까?' confirm 팝업이 녹화 개시 前 gate로 노출(36의 하드키 경로). 고정 literal observe 후 취소 = 녹화 미개시(mutation 0). clean·결정적·carrier 무관.
40,162.0,14.Quick panel,SALVAGE_CONFIRMED,popup_cancel,—,"화면 전송 focus>OK = '기기로 화면 전송' 팝업 노출 + 설정 버튼 focus. 팝업 노출(presence literal)·focus는 결정적, 전송은 기기 선택 前까지 미개시 → 취소(back)로 mutation 0. assert는 팝업 presence + focus 계약(PENDING_F0)이며 스캔 결과 의존 아님."
41,58.0,17.Safety Feature,DEMOTE_DEVICE,none,토글 직접 Tap의 commit 부작용 경로 불확실 — 취소 후 토글 상태 복원 여부 device-free 미확정,길게누르기 토글을 직접 Tap = 보호자 미설정 상태의 부작용으로 등록 팝업 유발. prior_reason 명시 '토글 탭 부작용 경로 불확실' — OK confirm으로 gated된 36~40과 달리 토글이 팝업 前 commit될 가능성이 device-free로 미해결. 취소가 토글 상태를 복원하는지 단말 관찰 없이 확정 불가 → default-demote.
42,22.0,21.Mive keyboard,DEMOTE_DEVICE,none,하드키 멀티탭 한글 IME 조합 binding이 근본 미해결이며 동시에 검증 대상(단순 selector 초과),"expected literal '기계공'은 고정이나, 검증 대상 자체가 하드키 멀티탭 한글 조합(기+스페이스+계공, 스페이스 미적용) IME 동작. 입력 메커니즘(어느 물리키·멀티탭 타이밍이 어떤 자모를 조합하는지)이 단순 selector가 아니라 근본 미해결 binding이며 동시에 테스트 대상. PENDING_F0(=selector id)가 커버하는 범위 초과 → DEMOTE_DEVICE."
43,27.0,21.Mive keyboard,DEMOTE_DEVICE,none,고정 literal 부재('한글 입력됨' 모호) + 하드키 UI 모드 전환 binding 근본 미해결,하드키 * 한글모드 전환 + 지움/취소 + 숫자키 다단 조작 후 expected가 '한글 입력됨'으로 고정 literal 부재(어떤 한글인지 미명시) → 텍스트 assert 비결정. 하드키 UI 모드 전환 binding도 근본 미해결. 모호 assert + 근본 binding 미해결로 default-demote.
44,495.0,21.Mive keyboard,DEMOTE_DEVICE,none,—,"메시지>새 메시지>작성영역 Tap = 결정적 네비게이션. assert = 작성영역 focus(focus_state, PENDING_F0) + 하단 한글 키보드 presence(IME window element-presence). 입력 미발생·전송 미발생 = mutation 0. MSG_201 finding으로 compose 진입 draft 무생성 확인. carrier 무관. req2 element-presence/focus 계약 허용 범위."
45,496.0,21.Mive keyboard,DEMOTE_DEVICE,none,—,"44 흐름 + 특수문자 버튼 Tap → MIVE 특수문자 키보드 전환 + 특수문자 버튼이 한글전환 버튼('가')로 변경. 키보드 모드 전환은 transient(앱 mutation 0), '가'는 고정 literal, 특수문자 레이아웃은 element-presence. clean 도달·carrier 무관."
46,497.0,21.Mive keyboard,DEMOTE_DEVICE,none,—,"44 흐름 + 한/영 버튼 Tap → 한글/영문 키보드 전환. 전환은 transient 키보드 상태(앱 mutation 0), 영문/한글 레이아웃 키셋 또는 토글 버튼 상태로 element-presence 관찰 가능. clean·결정적·carrier 무관."
47,528.0,21.Mive keyboard,DEMOTE_DEVICE,none,—,"메시지>더보기>차단 및 스팸관리>차단된 문구>+>입력영역 Tap = 결정적 메뉴 네비게이션. assert = 입력영역 focus + 한글 키보드 presence. 차단 문구 미입력·미저장 = mutation 0(add 폼 진입·필드 탭은 비-mutating). 빈 차단목록서도 도달, fixture 불요, carrier 무관. prior_reason의 INPUT_REQUIRED은 expected가 focus+키보드만 assert하므로 불요."
48,629.0,21.Mive keyboard,EXCLUDE,none,원 TC 미완성(추가 예정) — 검증 대상 스펙 자체가 닫히지 않음,"원문이 '추가 예정' 미완 TC — 절차/기대가 placeholder('나머지 T/C 추가 예정')로 닫혀 있어 완결된 결정적 흐름이 정의되지 않음. 메시지 새 메시지 입력 필드에서 기호 IME 첫 칸 포커싱이라는 expected는 transient_input/focus 계약으로 잠재 가능하나, 원 TC 자체가 불완전(spec 미확정)이라 device-free 초안의 source로 삼을 수 없음."
49,2.0,23.Settings,SALVAGE_CONFIRMED,transient_input,—,"설정>검색은 clean 앱에서 fixture 없이 결정적 도달. 검색 필드 focus 시 하드키 전용 IME 노출은 element-presence 계약(IME 입력 윈도우 노드 등장)으로 device-free assert 가능 — 텍스트 입력 자체는 불필요, transient_input은 필드 focus만으로 IME 등장을 관찰하고 영속 mutation 없음. carrier/SIM 무관, 저장/토글 없음."
50,11.0,23.Settings,DEMOTE_FIXTURE,none,가용 Wi-Fi AP 리스트(환경 fixture) 필요 + 네트워크 TAP 연결 시도 mutation,precondition 'Wi-Fi' + 'Wi-Fi 리스트 중 아무거나 TAP'은 스캔 범위 내 가용 AP 존재(환경/fixture)에 의존 — clean 단말에서 리스트 비결정. 또한 네트워크 항목 TAP은 연결 시도/비밀번호 다이얼로그 진입으로 연결상태 mutation 위험. IME 노출 자체는 presence-assert 가능하나 도달 경로가 환경 데이터 의존.
51,69.0,23.Settings,DEMOTE_DEVICE,none,기기명 default 값이 carrier/SIM 분기 — device-free로 literal 고정 불가,expected가 carrier별 default 기기명 literal(AT-M140S(SKT)/AT-M140L(LGU+)) binding에 의존 — carrier/SIM 분기 값이라 device-free literal 고정 불가. observe_split로 텍스트를 분리해도 어느 carrier 값을 assert할지가 단말/SIM 확정 필요(prior E_binding). 페어링 화면 진입 자체는 가능하나 기기명 assert 계약이 carrier-bound.
52,192.0,23.Settings,DEMOTE_DEVICE,none,정각알림 ON 토글(영속 설정 변경) + 디지털 모드 prestate 의존,"precondition '디지털 모드로 설정됨' + 정각 알림 읽어주기 ON 토글이 선행되고(영속 설정 mutation), 시간 설정 팝업 HH/MM 하드키 입력 후 HH 두자리→MM 자동 focus 이동을 검증. focus 자동이동 자체는 focus_state 계약 후보지만 진입에 ON 토글이라는 비가역 설정 변경과 디지털 모드 prestate가 필요. transient_input만으로 mutation/prestate를 해소 못함."
53,254.0,23.Settings,DEMOTE_DEVICE,none,배터리 그래프/앱별 % = 비결정 단말 상태값(배터리·사용이력 의존),expected가 배터리 사용량 그래프 + 앱별 배터리 % 가변값 — % 수치와 그래프는 단말 실사용에 따라 비결정(배터리 상태/사용 이력 의존)이라 device-free literal/presence로 고정 불가. observe_split로 '그래프 element presence'만 떼어내도 앱별 % 표기는 데이터 의존이라 원 expected의 핵심 검증(앱별 %)을 device-free로 충족 못함.
54,271.0,23.Settings,DEMOTE_DEVICE,none,T컬러링/링투유/LGU+ 제외 항목 = carrier/SIM 분기 expected,"expected 메뉴 리스트에 'T컬러링(SKT)/링투유(KT)/LGU+ 제외'라는 carrier 분기 항목이 핵심 검증으로 포함 — 어느 항목이 노출되는지가 SIM/carrier 확정 필요(prior E_binding). 볼륨 bar/고정 메뉴 라벨 presence는 device-free 가능하나, expected의 carrier-가변 항목을 device-free literal로 고정 불가하여 원 검증 의도 미충족."
55,272.0,23.Settings,EXCLUDE,none,검증 대상 = 실제 소리 크기 변화(오디오 전용) + 볼륨값 mutation,"expected가 '소리 크기 조절된다' — 볼륨 슬라이더 좌/우 이동에 따른 실제 음량 변화 검증으로 오디오 출력 전용. 슬라이더 값 변경은 영속 볼륨 mutation이며, 검증 본질이 소리 크기(청각/오디오 품질)라 device-free 자동화 불가."
56,275.0,23.Settings,EXCLUDE,none,외부 브라우저/통신사 웹 전환 = 외부효과·carrier 의존,T컬러링/링투유 웹사이트 전환 = 외부 브라우저/통신사 서버 의존 외부효과(prior F_misc). 항목 노출 여부는 carrier 분기이며 전환 결과는 외부 웹(네트워크/통신사) 의존이라 device-free 결정적 검증 불가.
57,706.0,23.Settings,DEMOTE_DEVICE,none,화면 잠금 설정(보안 상태) 진입 경로 + PIN 입력값 검증 의존,"PIN 설정 흐름 진입 자체가 화면 잠금 설정 변경(영속 보안 상태 mutation) 경로 — PIN 입력→다음→불일치 재입력으로 오류문구·재입력 focus 검증. 불일치 후 미완료라 잠금이 실제 설정되진 않을 수 있으나 흐름이 보안 설정 진입이고, transient_input 입력값 검증은 입력 필요. prior D_system_state/C_verifier. 영속 위험과 입력 의존으로 device-free 초안 부적합."
58,718.0,23.Settings,DEMOTE_DEVICE,none,비밀번호 설정(보안 상태) 진입 + 비밀번호 입력값 검증 의존,706과 동형 — 비밀번호 설정 진입(보안 상태 변경 경로)에서 4자 이상 입력 후 불일치 재입력으로 오류문구·재입력 focus 검증. 입력값 검증 의존 + 보안 설정 흐름. prior D_system_state. device-free transient 초안으로 결함 해소 불가.
59,773.0,23.Settings,DEMOTE_DEVICE,none,SIM 카드 잠금 진입 = 장착 SIM 의존(SIM 없으면 메뉴 비활성),SIM 카드 잠금 팝업 노출 검증 — precondition 'SIM 카드 잠금 Off' + SIM PIN 입력 화면 도달은 인증된 SIM 장착에 의존(SIM 없으면 메뉴/팝업 비활성·grey-out). expected에 PIN 입력 키패드 노출 포함=IME 노출이나 SIM 의존 게이트가 근본. carrier/SIM 무의존 요건 위반.
60,3.0,24.Launcher,DEMOTE_DEVICE,none,Press OK = 소리모드 선택 토글(영속 모드 변경) 부작용 경로,"볼륨바 노출+소리모드 아이콘 focus 자체는 KEEP_CONFIRMED #1/#2와 동형 focus 계약이나, 본 TC는 'Press OK'를 포함 — strict re-judge가 동일 'Vol Up→OK로 소리모드 노출+모드 변경'을 D5_mutation/E_binding으로 강등(선택 부작용 경로). Press OK = 소리모드 선택 토글 부작용으로 영속 사운드 모드 변경 위험. selection_gated가 OK 부작용을 가드하지 못하고 모드 노출 확장도 불확실."
61,4.0,24.Launcher,DEMOTE_DEVICE,none,선행 Press OK 모드선택(영속 mutation) 전제 경로,선행 'Press OK'(모드 선택 부작용)를 전제로 무음모드 아이콘 focus 검증 — index 60과 동일하게 OK 모드선택이 영속 mutation 경로. focus 이동 assert는 focus_state 후보지만 진입 경로가 OK 부작용에 종속되어 device-free로 안전 분리 불가(prior E_binding).
62,5.0,24.Launcher,DEMOTE_DEVICE,none,선행 Press OK 모드선택(영속 mutation) 전제 경로,"61과 동형 — 선행 Press OK(모드선택 부작용) 후 더보기 아이콘 focus 검증. OK 모드선택이 영속 사운드 모드 변경 경로라 selection_gated로 가드 불가, focus 계약 진입이 mutation에 종속(prior E_binding)."
63,13.0,24.Launcher,DEMOTE_FIXTURE,none,'해당 위치에 배치된 앱' = 홈 레이아웃/배치 데이터 의존(빈 슬롯 시 메뉴 미출현),"OK 길게→'해당 위치에 배치된 앱'의 컨텍스트 메뉴 노출+상단 focus. 메뉴 라벨(앱 정보/앱 삭제/홈 삭제/위젯 등록)은 고정 literal이고 popup_cancel(observe→back, 앱삭제 미실행)로 위험 가드 가능하나, '해당 위치에 배치된 앱'이 어떤 앱인지가 홈 레이아웃/배치 데이터에 의존 — 빈 슬롯이면 메뉴 미출현. precondition '홈 화면 포커스되지 않은 상태'만으로 특정 앱 배치를 보장 못해 결정적 도달 미보장."
64,14.0,24.Launcher,SALVAGE_CONFIRMED,popup_cancel,,"OK-long-press enters app-edit context from clean home; procedure only navigates focus (down/down/up/up). Expected is pure focus_move — a focus_state contract (PENDING_F0). No fixture, no carrier/SIM. The named popup_cancel pattern adds the back/cancel guard that resolves the prior 'cancel not guaranteed' defect, and navigation never commits a delete so no mutation occurs."
65,15.0,24.Launcher,SALVAGE_CONFIRMED,popup_cancel,,"Clean home > nav > down/down > OK-long-press opens app menu, then Back/cancel hardkey. Expected = menu dismissed and focus returns to the app = focus_retained (focus_state, PENDING_F0). popup_cancel is genuinely applied (Back dismisses), so no commit/mutation. No fixture, no carrier/SIM."
66,25.0,24.Launcher,SALVAGE_CONFIRMED,popup_cancel,,Precondition (speed dial not registered) is the default clean state — no fixture. Home > nav > down > speed-dial slot > OK triggers a registration popup. Expected = popup appears (element-presence). Asserting popup presence then cancelling avoids the registration mutation. No carrier/SIM. popup_cancel resolves the prior 'registration input path needs cancel' defect.
67,162.0,24.Launcher,EXCLUDE,none,Color/pixel verifier (white vs non-white indicator) is not expressible as a device-free literal/presence/focus contract.,"Expected is a color assertion — top indicator UI must NOT render in white. This is a visual-quality / pixel-color check with no fixed UI literal, element-presence, or focus contract that captures it. observe_split separates action from observation but cannot make a deterministic device-free color verifier; prior reason already notes the screenshot color verifier is unproven. Visual-quality only."
68,225.0,24.Launcher,DEMOTE_FIXTURE,none,Requires multiple running apps as preexisting fixture; expected verifies process termination (mutation).,"Precondition '실행 중인 앱 다수 있음' requires multiple apps pre-launched = fixture state the runner does not set up device-free. Action 'close all' is a process-kill mutation, and the expected asserts all recents terminate (a state-change confirmation). observe_split splits the assert but cannot remove the running-apps fixture nor the termination mutation."
69,240.0,24.Launcher,DEMOTE_FIXTURE,none,Persistent favorite registration (mutation) is intrinsic to the expected result; Simple Mode state needed.,"Core action registers an app to the favorites hardkey (즐겨찾기 등록) = persistent mutation, and expected requires the registered app to subsequently launch — the registration is the whole point, not avoidable. Also requires Simple Mode state. selection_gated cannot gate away the registration write."
70,242.0,24.Launcher,DEMOTE_FIXTURE,none,Persistent favorite-change registration (mutation) + confirmation toast is intrinsic to the expected.,"Expected #2 requires actually selecting an app, producing a persistent favorite-registration change plus a 'registered' toast = mutation. selection_gated could stop at expected #1 (picker shows all apps) but the TC's defining assert is the registration toast, which is non-salvageable without committing the mutation."
71,244.0,24.Launcher,DEMOTE_FIXTURE,none,Pre-registered favorite fixture plus favorite-change mutation/toast both required.,"Precondition '즐겨찾기 버튼에 등록된 앱 있음' requires a pre-registered favorite = fixture, AND the expected re-registers (change + toast) = persistent mutation. Both fixture and mutation present; selection_gated resolves neither."
72,247.0,24.Launcher,DEMOTE_FIXTURE,none,Verifying on/off toggle requires actuating a persistent setting (mutation).,"Expected asserts the close-settings auto-close on/off toggle actually actuates (동작한다) — toggling a persistent launcher setting is a mutation. observe_split separates the assert but the verification requires actuating the toggle, which changes persistent state and is not reversible within a device-free draft."
73,292.0,25.Call,SALVAGE_CONFIRMED,transient_input,,"Precondition 'no favorited contacts' is the default empty state — no fixture. Contact-search focus > OK activates the search field; the salvageable core is that the search EditText gains focus = focus_state (focus_position, PENDING_F0). No mutation (search not committed), no carrier/SIM (pure UI). The non-deterministic IME-rise is not asserted; focus/presence on the search input is, consistent with Stream1 CAL_355 focus_position."
74,301.0,25.Call,DEMOTE_FIXTURE,none,Requires 4+ pre-registered favorite contacts as data fixture.,Precondition '즐겨찾기된 연락처 4개 이상' requires 4+ pre-registered favorite contacts = preexisting contact/favorite data the runner cannot provision device-free. selection_gated handles the no-commit selection UI but cannot supply the favorite-contacts fixture.
75,302.0,25.Call,DEMOTE_FIXTURE,none,Requires 4+ pre-registered favorite contacts as data fixture.,"Same precondition: 4+ favorited contacts required as preexisting data fixture. Even though the assert (back focus) is mutation-free, the selection mode and the multi-item layout depend on the favorite-contacts fixture that is not provisionable device-free."
76,303.0,25.Call,DEMOTE_FIXTURE,none,Requires 4+ pre-registered favorite contacts as data fixture.,"Same precondition: 4+ favorited contacts required as data fixture. The 'n개 선택됨' dropdown focus depends on the selection layout populated by the favorite-contacts fixture, which the runner cannot set up device-free."
