tc_id,entry_status,entry_route,input_used,input_injection_status,safety_status,literal_expected,literal_observed,desc_observed,verify_status,focus_observed,state_diff,divergence,evidence_files,note
"ALTBASIC_QPN_053","NOT_EXECUTED","active 화면 자동 회전 tile 확인","touch-longtap 0","LONGTAP_INJECTION_UNRESOLVED","PENDING_MUTATION_RISK_APPROVAL","자동 회전 설정","—","화면 자동 회전 active tile","INPUT_INJECTION_UNRESOLVED","—","—","short tap 오해석 시 rotation mutation 위험","q3_full_page2_inventory.xml","별도 mutation-risk runsheet 필요"
"ALTBASIC_QPN_056","NOT_EXECUTED","active 절전 모드 tile 확인","touch-longtap 0","LONGTAP_INJECTION_UNRESOLVED","PENDING_MUTATION_RISK_APPROVAL","절전 모드 메뉴","—","절전 모드 active tile","INPUT_INJECTION_UNRESOLVED","—","—","short tap 오해석 시 battery saver mutation 위험","q3_full_page2_inventory.xml","별도 mutation-risk runsheet 필요"
"ALTBASIC_QPN_066","NOT_EXECUTED","active/candidate inventory 확인","touch-longtap 0","LONGTAP_INJECTION_UNRESOLVED","PENDING_MUTATION_RISK_APPROVAL","Wi-Fi 핫스팟 설정","—","핫스팟은 edit candidate에만 존재","INPUT_INJECTION_UNRESOLVED","—","—","입력 미확정 + active precondition 불일치","F0_qs_tiles_pre.txt;QPN_002_108~113_scan_down.xml","별도 mutation-risk 승인 전 입력 0. 정정 2026-08-20 Claude 재검증: candidate inventory 가 스크롤 단일 dump(scan_after14/22)로 계산돼 행 clipping — scan_down 101~114 합집합 재추출 결과 edit tile_label 전수 25종(active 12 + candidate 13)"
"ALTBASIC_QPN_102","NOT_EXECUTED","집중 모드는 edit candidate에만 존재","touch-longtap 0","LONGTAP_INJECTION_UNRESOLVED","PENDING_MUTATION_RISK_APPROVAL","집중 모드 설정","—","집중 모드 inactive candidate","INPUT_INJECTION_UNRESOLVED","—","—","입력 미확정 + active precondition 불일치","QPN_002_scan_after14.xml","별도 mutation-risk 승인 전 입력 0"
"ALTBASIC_QPN_116","ENTRY_OBSERVED","HOME→swipe→split curtain","swipe only","GESTURE_OBSERVED","READ_ONLY","퀵패널/아이콘/알림창/버튼","split stage + notification row 5","expandableNotificationRow","LITERAL_CONFIRMED","—","0","generic source literal을 구조 marker로 판정","QPN_116_00_split_curtain.xml;QPN_116_00_split_curtain.png","raw notification PII는 tracked 산출물에 미전사"
"ALTBASIC_QPN_121","ENTRY_OBSERVED","HOME","DOWN","KEYEVENT_OBSERVED","NAVIGATION_ONLY","전화앱 focus","focused container descendant=전화","com.hnlens.simplemode:id/rl_home_app","FOCUS_OBSERVED","전화","0","QS focus map과 별도 HOME 축","QPN_121_home_00_pre.xml;QPN_121_home_01_down.xml","—"
"ALTBASIC_QPN_122","NOT_EXECUTED_CARRY_FORWARD","HOME physical longpress axis","adb longpress 재주입 0","INPUT_UNAUTOMATABLE","MANUAL_INPUT_REQUIRED","퀵패널","C02 KEY-011 evidence carry-forward","—","INPUT_UNAUTOMATABLE","—","—","physical HOME hold positive / adb longpress 3 negative / sendevent denied","RESULT_RECOVERY_BATCH10_C02_2026-08-19.md §6;catalog KEY-011","본 discovery에서 재발견 금지"
"ALTBASIC_QPN_123","ENTRY_OBSERVED","split conditional Wi-Fi anchor","RIGHT; independent reset; DOWN","KEYEVENT_OBSERVED","NAVIGATION_ONLY","블루투스/모바일 데이터","exact focus labels","tile focus","FOCUS_OBSERVED","Wi-Fi→RIGHT 블루투스; Wi-Fi→DOWN 모바일 데이터","0","split entry가 NONE 또는 Wi-Fi로 달라 조건형 anchor 필요","QPN_123_right_02_right.xml;QPN_123_down_02_down.xml","각 branch independent reset"
"ALTBASIC_QPN_124","ENTRY_OBSERVED","split exact origin reset","Bluetooth→DOWN; 모바일 데이터→RIGHT","KEYEVENT_OBSERVED","NAVIGATION_ONLY","소리 모드","exact focus label","tile focus","FOCUS_OBSERVED","두 branch 모두 소리 모드","0","—","QPN_124_bt_down_03_down.xml;QPN_124_cell_right_03_right.xml","—"
"ALTBASIC_QPN_125","ENTRY_OBSERVED","split exact origin reset","모바일 데이터→DOWN; 소리 모드→DOWN","KEYEVENT_OBSERVED","NAVIGATION_ONLY","펼치기","exact focus label","quick_qs_panel_open","FOCUS_OBSERVED","두 branch 모두 펼치기","0","—","QPN_125_cell_down_03_down.xml;QPN_125_sound_down_04_down.xml","—"
"ALTBASIC_QPN_130","ENTRY_OBSERVED","split→펼치기 focus","OK 1회","KEYEVENT_OBSERVED","NON_TILE_OK_ONLY","full + Wi-Fi focus","full stage","quick_qs_panel_open→Wi-Fi","FOCUS_OBSERVED","after OK=Wi-Fi","0","—","QPN_130_expand_ok_03_down2.xml;QPN_130_expand_ok_04_ok.xml","타일 위 OK 0"
"ALTBASIC_QPN_131","ENTRY_OBSERVED","full conditional Wi-Fi anchor","UP","KEYEVENT_OBSERVED","NAVIGATION_ONLY","밝기 조절","디스플레이 밝기","slider","FOCUS_OBSERVED","Wi-Fi→UP brightness slider","0","—","QPN_131_wifi_up_10_up.xml","—"
"ALTBASIC_QPN_133","ENTRY_OBSERVED","split conditional Wi-Fi anchor","OK longpress","LONGPRESS_INJECTION_OBSERVED","NAVIGATION_ONLY","Wi-Fi 설정 페이지","Wi-Fi","target package=com.android.settings","LITERAL_CONFIRMED","Wi-Fi target","Wi-Fi enabled→enabled","unconditional DOWN은 이미 Wi-Fi focus일 때 모바일 데이터로 이동","QPN_133_q1_retry_00_entry.xml;QPN_133_q1_retry_01_after_ok_longpress.xml;QPN_133_q1_result.txt","HOME(3) KEY-011을 OK(23)에 일반화하지 않음"
"ALTBASIC_QPN_134","ENTRY_OBSERVED","full conditional Wi-Fi anchor","RIGHT","KEYEVENT_OBSERVED","NAVIGATION_ONLY","블루투스","exact focus label","tile focus","FOCUS_OBSERVED","Wi-Fi→RIGHT 블루투스","0","—","QPN_134_wifi_right_10_right.xml","—"
"ALTBASIC_QPN_135","ENTRY_OBSERVED","full conditional Wi-Fi anchor","DOWN","KEYEVENT_OBSERVED","NAVIGATION_ONLY","모바일 데이터","exact focus label","tile focus","FOCUS_OBSERVED","Wi-Fi→DOWN 모바일 데이터","0","—","QPN_135_wifi_down_10_down.xml","—"
"ALTBASIC_QPN_137","ENTRY_OBSERVED","full brightness origin","DOWN","KEYEVENT_OBSERVED","NAVIGATION_ONLY","Wi-Fi","exact focus label","slider→tile","FOCUS_OBSERVED","brightness→DOWN Wi-Fi","0","—","QPN_137_brightness_down_10_up_to_brightness.xml;QPN_137_brightness_down_11_down.xml","—"
"ALTBASIC_QPN_138","ENTRY_OBSERVED","full conditional Wi-Fi anchor","DOWN×3 bounded","KEYEVENT_OBSERVED","NAVIGATION_ONLY","수정 버튼","설정 순서 수정","android:id/edit","FOCUS_OBSERVED","Wi-Fi→모바일 데이터→비행기 모드→edit","0","keep press를 longpress가 아닌 repeated short로 해석","QPN_138_wifi_keep_down_11_down_seek_edit.xml;QPN_138_wifi_keep_down_12_down_seek_edit.xml;QPN_138_wifi_keep_down_13_down_seek_edit.xml","최소 3회"
"ALTBASIC_QPN_140","ENTRY_OBSERVED","full edit origin","UP×4 bounded","KEYEVENT_OBSERVED","NAVIGATION_ONLY","밝기 조절","디스플레이 밝기","slider","FOCUS_OBSERVED","edit→비행기→모바일 데이터→Wi-Fi→brightness","0","—","QPN_140_edit_keep_up_21_up.xml;QPN_140_edit_keep_up_24_up.xml","최소 4회"
"ALTBASIC_QPN_141","ENTRY_OBSERVED","full edit origin","RIGHT×2 bounded","KEYEVENT_OBSERVED","POWER_OK_FORBIDDEN","전원 버튼","pm_lite resource control","com.android.systemui:id/pm_lite","FOCUS_OBSERVED","edit→settings→power","0","—","QPN_141_edit_keep_right_21_right.xml;QPN_141_edit_keep_right_22_right.xml","전원 control에서 OK 0"
"ALTBASIC_QPN_142","ENTRY_OBSERVED","full conditional Wi-Fi anchor","CANCEL 67","KEYEVENT_OBSERVED","NAVIGATION_ONLY","split 퀵패널/알림창/Wi-Fi focus","split + Wi-Fi","expandableNotificationRow; focused Wi-Fi","LITERAL_CONFIRMED","Wi-Fi 유지","0","—","QPN_142_wifi_cancel_10_cancel67.xml","—"
"ALTBASIC_QPN_145","ENTRY_OBSERVED","full 모바일 데이터 focus","OK longpress; capture retry 포함 2회","LONGPRESS_INPUT_SENT_CAPTURE_BLOCKED","NAVIGATION_ONLY","모바일 네트워크 설정","destination literal 미채록","target focus=모바일 데이터","DISCOVERY_BLOCKED","target focus observed","mobile_data 1→1 (각 시도)","destination uiautomator: could not get idle state; remote XML 미생성","QPN_145_00_target.xml;QPN_145_retry_00_target.xml;QPN_145_retry_result.txt","세 번째 입력 반복 금지; 별도 capture 전략 필요"
"ALTBASIC_QPN_146","ENTRY_OBSERVED","full 소리 모드 focus","OK longpress","LONGPRESS_INJECTION_OBSERVED","NAVIGATION_ONLY","소리 및 진동 설정","소리 및 진동","target text=소리 모드, 소리","LITERAL_PENDING","target focus observed","mode_ringer 2→2","source 후보 suffix '설정'과 실제 header 표기차","QPN_146_00_target.xml;QPN_146_01_after_longpress.png","manual evidence observed"
"ALTBASIC_QPN_149","ENTRY_OBSERVED","full page2 화면 자동 회전 focus","OK longpress","LONGPRESS_INJECTION_OBSERVED","NAVIGATION_ONLY","화면 자동 회전","화면 자동 회전","target=화면 자동 회전","LITERAL_CONFIRMED","target focus observed","accelerometer_rotation 0→0","—","QPN_149_00_target.xml;QPN_149_01_after_longpress.png","manual evidence observed"
"ALTBASIC_QPN_153","ENTRY_OBSERVED","full page2 데이터 절약 focus","OK longpress","LONGPRESS_INJECTION_OBSERVED","NAVIGATION_ONLY","데이터 절약 모드","데이터 절약 모드","target=데이터 절약","LITERAL_CONFIRMED","target focus observed","restrict-background disabled→disabled","—","QPN_153_00_target.xml;QPN_153_01_after_longpress.png","manual evidence observed"
"ALTBASIC_QPN_155","ENTRY_OBSERVED","full page2 방해 금지 focus","OK longpress","LONGPRESS_INJECTION_OBSERVED","NAVIGATION_ONLY","방해 금지 모드","방해 금지 모드","target=방해 금지 모드","LITERAL_CONFIRMED","target focus observed","zen_mode 0→0","—","QPN_155_00_target.xml;QPN_155_01_after_longpress.png","manual evidence observed"
"ALTBASIC_QPN_157","PRECONDITION_MISMATCH","active/candidate inventory 확인","OK longpress 0","NOT_EXECUTED_INACTIVE_TILE","NAVIGATION_ONLY","Wi-Fi 핫스팟","핫스팟은 edit candidate에만 존재","—","PRECONDITION_MISMATCH","—","0","full QS active tile 아님","F0_qs_tiles_pre.txt;QPN_002_108~113_scan_down.xml","정정 2026-08-20 Claude 재검증: candidate inventory 가 스크롤 단일 dump(scan_after14/22)로 계산돼 행 clipping — scan_down 101~114 합집합 재추출 결과 edit tile_label 전수 25종(active 12 + candidate 13)"
"ALTBASIC_QPN_158","PRECONDITION_MISMATCH","edit candidate inventory 확인","OK 0","NOT_EXECUTED_INACTIVE_TILE","NAVIGATION_ONLY","Quick Share 설정 창","Quick Share는 edit candidate에만 존재","—","PRECONDITION_MISMATCH","—","0","full QS active tile 아님","QPN_002_scan_after22.xml;F0_qs_tiles_pre.txt","—"
"ALTBASIC_QPN_159","PRECONDITION_MISMATCH","edit candidate inventory 확인","OK 0","NOT_EXECUTED_INACTIVE_TILE","NAVIGATION_ONLY","QR 코드 스캔","QR 코드 스캐너는 edit candidate에만 존재","—","PRECONDITION_MISMATCH","—","0","full QS active tile 아님","QPN_002_scan_after14.xml;F0_qs_tiles_pre.txt","—"
"ALTBASIC_QPN_163","NOT_EXECUTED","집중 모드는 edit candidate에만 존재","OK 0","NOT_EXECUTED_TOGGLE_RISK","SAFETY_BLOCKED","집중 모드 page","—","집중 모드 inactive candidate","SAFETY_BLOCKED","—","0","short OK가 상태 토글로 해석될 위험 + active precondition 불일치","QPN_002_scan_after14.xml;F0_qs_tiles_pre.txt","별도 mutation-risk 승인 필요"
"ALTBASIC_QPN_165","PRECONDITION_MISMATCH","edit candidate inventory 확인","OK 0","NOT_EXECUTED_INACTIVE_TILE","NAVIGATION_ONLY","알람앱","알람은 edit candidate에만 존재","—","PRECONDITION_MISMATCH","—","0","full QS active tile 아님","QPN_002_scan_after22.xml;F0_qs_tiles_pre.txt","—"
"ALTBASIC_QPN_167","ENTRY_OBSERVED","full edit focus","OK","KEYEVENT_OBSERVED","READ_ONLY_NO_SAVE","퀵패널 수정화면/최초 focus","edit screen; initial focus=Wi-Fi","android:id/edit→Wi-Fi","FOCUS_OBSERVED","Wi-Fi","qs_tiles diff 0","tap 진입 initial NONE과 key OK 진입 initial Wi-Fi가 다름","QPN_167_00_edit_focus.xml;QPN_167_01_after_ok.xml","mutation 0"
"ALTBASIC_QPN_168","ENTRY_OBSERVED","edit screen Wi-Fi first tile","UP","KEYEVENT_OBSERVED","READ_ONLY_NO_SAVE","뒤로가기 focus","qs_customize_edit_ibtn","com.android.systemui:id/qs_customize_edit_ibtn","FOCUS_OBSERVED","Wi-Fi→UP back control","qs_tiles diff 0","—","QPN_168_01_after_ok.xml;QPN_168_20_up_from_first.xml","mutation 0"
"ALTBASIC_QPN_175","ENTRY_OBSERVED","full power focus","OK; popup BACK","KEYEVENT_OBSERVED","ELEVATED_CAUTION_NO_INTERNAL_OK","긴급 전화/전원 끄기/다시 시작","3 literal 전부 관찰","pm_lite→power popup","LITERAL_CONFIRMED","power focus observed","0","—","QPN_175_00_power_focus.xml;QPN_175_01_power_popup.xml;QPN_175_01_power_popup.png","팝업 내부 OK 0"
"ALTBASIC_QPN_176","ENTRY_OBSERVED","full settings focus","OK; BACK","KEYEVENT_OBSERVED","NAVIGATION_ONLY","설정","com.android.settings","settings_button_container","LITERAL_CONFIRMED","settings focus observed","0","—","QPN_176_00_settings_focus.xml;QPN_176_01_after_ok.xml;QPN_176_01_after_ok.png","설정값 접촉 0"
