wave,sheet,source_row,functionality,rejudge_2026_06_11,reason,judge_method
wave2,27.Contacts,150.0,초성검색 하이라이트,DEFER_C_UNPROVEN,동일 (영문 검색 variant),human_confirmed_2026-06-11
wave2,27.Contacts,151.0,초성검색 하이라이트,DEFER_C_UNPROVEN,동일 (특수기호 variant),human_confirmed_2026-06-11
wave2,27.Contacts,154.0,연락처 목록,DEFER_A_FIXTURE,연락처 다수 fixture — 스크롤 assert는 N>화면 전제,human_confirmed_2026-06-11
wave2,27.Contacts,157.0,연락처 목록,DEFER_A_FIXTURE,연락처 존재 fixture (A-3 redaction 종속) — selection_gated 계층은 실증됨,human_confirmed_2026-06-11
wave2,27.Contacts,158.0,연락처 목록,DEFER_A_FIXTURE,동일 — N개 선택됨 드롭박스 observe,human_confirmed_2026-06-11
wave2,27.Contacts,164.0,연락처 목록,EXCLUDE_CONFIRMED,연락처 연결(merge) = 영속 mutation,human_confirmed_2026-06-11
wave2,27.Contacts,172.0,초성검색,DEFER_A_FIXTURE,연락처 fixture (A-3) — 초성 검색 매칭,human_confirmed_2026-06-11
wave2,27.Contacts,173.0,초성검색,DEFER_A_FIXTURE,동일 + 전화 앱 경유 (다이얼러 진입 risk note),human_confirmed_2026-06-11
wave2,27.Contacts,175.0,초성검색,DEFER_A_FIXTURE,동일 (영문),human_confirmed_2026-06-11
wave2,27.Contacts,176.0,초성검색,DEFER_A_FIXTURE,"동일 (영문, 전화 앱 경유)",human_confirmed_2026-06-11
wave2,27.Contacts,178.0,초성검색,DEFER_A_FIXTURE,동일 (특수기호 edge — 입력 가능성 단말 확인 필요),human_confirmed_2026-06-11
wave2,27.Contacts,179.0,초성검색,DEFER_A_FIXTURE,"동일 (특수기호, 전화 앱 경유)",human_confirmed_2026-06-11
wave2,27.Contacts,180.0,초성검색,DEFER_A_FIXTURE,동일 (이모티콘 edge),human_confirmed_2026-06-11
wave2,27.Contacts,181.0,초성검색,DEFER_A_FIXTURE,"동일 (이모티콘, 전화 앱 경유)",human_confirmed_2026-06-11
wave2,27.Contacts,200.0,설정 - 연락처 가져오기,EXCLUDE_CONFIRMED,메모리카드 VCF 가져오기 = 외부 매체 의존 + 영속 mutation,human_confirmed_2026-06-11
wave3,1.Basic principle,82.0,Multi Selection,DEFER_E_BINDING,Multi Selection 대상 리스트 앱 미지정 (ledger E 추가) — VRC_066 GREEN 시 VRC 목록 바인딩 후보,human_confirmed_2026-06-11
wave3,1.Basic principle,84.0,Multi Selection,DEFER_E_BINDING,동일 — dropdown 전체 선택 노출,human_confirmed_2026-06-11
wave3,1.Basic principle,85.0,Multi Selection,DEFER_E_BINDING,동일 — N개 선택됨 영역 tap,human_confirmed_2026-06-11
wave3,1.Basic principle,87.0,Multi Selection,DEFER_E_BINDING,동일 (84 near-dup 의심 — 바인딩 확정 시 통합 검토),human_confirmed_2026-06-11
wave3,1.Basic principle,89.0,Multi Selection,DEFER_E_BINDING,동일 + 배경 하늘색 = 색상 판정(C 축 병존),human_confirmed_2026-06-11
wave3,1.Basic principle,90.0,Multi Selection,DEFER_E_BINDING,동일 + 색상 판정 병존,human_confirmed_2026-06-11
wave3,1.Basic principle,101.0,Search,ALREADY_SYNTHESIZED,batch06 ALTBASIC_BSC_101 (transient_input) — wave3 CSV cue_auto 표기 stale,human_confirmed_2026-06-11
wave3,1.Basic principle,102.0,Search,ALREADY_SYNTHESIZED,batch06 ALTBASIC_BSC_102 — stale,human_confirmed_2026-06-11
wave3,1.Basic principle,105.0,Search,ALREADY_LEDGERED,DEFER ledger A-3 (연락처 fixture + redaction),human_confirmed_2026-06-11
wave3,1.Basic principle,107.0,Search,ALREADY_LEDGERED,DEFER ledger E (타이틀 검색 — 대상 앱 미지정),human_confirmed_2026-06-11
wave3,1.Basic principle,108.0,Search,ALREADY_LEDGERED,DEFER ledger E,human_confirmed_2026-06-11
wave3,15.Lockscreen,27.0,화면 잠금 - 암호,ALREADY_LEDGERED,DEFER ledger A-5 (잠금 설정 고위험 — 보류 권장),human_confirmed_2026-06-11
wave3,15.Lockscreen,38.0,화면 잠금 - 암호,ALREADY_LEDGERED,DEFER ledger A-5,human_confirmed_2026-06-11
wave3,15.Lockscreen,46.0,잠금 화면 알림 - 모든 알림 내용 표시,DEFER_D_SYSTEM,잠금화면 알림 표시 설정 변경 = persist mutation + F0 잠금화면 미사용(STR-002 device-fit),human_confirmed_2026-06-11
wave3,15.Lockscreen,48.0,잠금 화면 알림 - 알림 표시 안함,DEFER_D_SYSTEM,동일,human_confirmed_2026-06-11
wave3,17.Safety Feature,25.0,안심 메시지 > 폴더 개폐 동작,DEFER_D_SYSTEM,폴더 개폐 확인 Off 설정 = 본 mutation이 검증 대상 (ledger D SFT_038 동형 추가),human_confirmed_2026-06-11
wave3,17.Safety Feature,38.0,안심 메시지 > 물리 키 동작,ALREADY_LEDGERED,DEFER ledger D,human_confirmed_2026-06-11
wave3,33.Near Medi,7.0,,ALREADY_LEDGERED,"DEFER ledger F (검색결과 없음 — 환경 conditional, skip 확률 높음)",human_confirmed_2026-06-11
wave3,4.Voice notification (TTS),4.0,정각 알림 읽어주기,ALREADY_LEDGERED,DEFER ledger F (확인 = persist),human_confirmed_2026-06-11
wave3,4.Voice notification (TTS),6.0,정각 알림 읽어주기,ALREADY_LEDGERED,DEFER ledger F,human_confirmed_2026-06-11
wave3,6.Pedometer app,2.0,메인 화면,ALREADY_SYNTHESIZED,batch06 ALTBASIC_PDM_002 — stale,human_confirmed_2026-06-11
wave3,6.Pedometer app,4.0,메인 화면,ALREADY_LEDGERED,DEFER ledger F (값 변경 — 원복 사이클 승인 필요),human_confirmed_2026-06-11
wave3,6.Pedometer app,6.0,메인 화면,ALREADY_SYNTHESIZED,batch06 ALTBASIC_PDM_006 — stale,human_confirmed_2026-06-11
wave3,6.Pedometer app,8.0,메인 화면,ALREADY_LEDGERED,DEFER ledger F,human_confirmed_2026-06-11
wave3,6.Pedometer app,10.0,메인 화면,ALREADY_SYNTHESIZED,batch06 ALTBASIC_PDM_010 — stale,human_confirmed_2026-06-11
wave3,6.Pedometer app,11.0,메인 화면,ALREADY_SYNTHESIZED,batch06 ALTBASIC_PDM_011 — stale,human_confirmed_2026-06-11
wave3,6.Pedometer app,12.0,메인 화면,ALREADY_LEDGERED,DEFER ledger F (성별 변경 = persist),human_confirmed_2026-06-11
wave3,6.Pedometer app,13.0,메인 화면,ALREADY_SYNTHESIZED,batch06 ALTBASIC_PDM_013 — stale,human_confirmed_2026-06-11
wave3,6.Pedometer app,14.0,메인 화면,ALREADY_SYNTHESIZED,batch06 ALTBASIC_PDM_014 — stale,human_confirmed_2026-06-11
wave3,6.Pedometer app,15.0,메인 화면,ALREADY_LEDGERED,DEFER ledger F (20000보 설정 = persist),human_confirmed_2026-06-11
wave3,6.Pedometer app,23.0,내 정보,ALREADY_LEDGERED,DEFER ledger F (빈 입력+확인 — 저장 trigger 불확실),human_confirmed_2026-06-11
wave3,6.Pedometer app,25.0,내 정보,ALREADY_LEDGERED,DEFER ledger F,human_confirmed_2026-06-11
wave3,6.Pedometer app,28.0,오늘 걸음 수,REDESIGN_CANDIDATE,오늘 걸음 수 표기 observe — 값 비단정 (0 포함 표기 자체 판정),human_confirmed_2026-06-11
wave3,6.Pedometer app,29.0,오늘 걸음 수,EXCLUDE_CONFIRMED,물리 보행 의존 (걸음 카운트 진행/깃발) — 자동화 불가,human_confirmed_2026-06-11
wave3,6.Pedometer app,33.0,소모 칼로리,EXCLUDE_CONFIRMED,실시간 칼로리 변화 = 물리 보행 의존,human_confirmed_2026-06-11
wave3,6.Pedometer app,35.0,어제 걸음 수,REDESIGN_CANDIDATE,어제 걸음 수 표기 observe — 값 비단정,human_confirmed_2026-06-11
wave3,6.Pedometer app,36.0,어제 걸음 수,EXCLUDE_CONFIRMED,자정 경계 + 걸음 fixture 의존 — 비결정,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,5.0,이미지 표시 및 Loop,DEFER_A_FIXTURE,갤러리 사진 fixture + 슬라이드 재생 상태 전제,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,8.0,이미지 선택 갯수,DEFER_C_UNPROVEN,toast 미실증 + 사진 11+ fixture,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,26.0,Picture Frame,DEFER_A_FIXTURE,사진 10+ fixture — flicking 스크롤 observe 자체는 실증 primitive,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,27.0,Picture Frame,DEFER_A_FIXTURE,동일 (역방향),human_confirmed_2026-06-11
wave3,8. Picture Frame widget,28.0,Picture Frame,DEFER_C_UNPROVEN,panning 드래그-선택 primitive 미실증 + 사진 fixture,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,29.0,Picture Frame,DEFER_C_UNPROVEN,동일,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,30.0,Picture Frame,DEFER_C_UNPROVEN,동일,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,31.0,Picture Frame,DEFER_C_UNPROVEN,동일,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,32.0,Picture Frame,DEFER_C_UNPROVEN,동일,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,33.0,Picture Frame,DEFER_C_UNPROVEN,동일,human_confirmed_2026-06-11
wave3,8. Picture Frame widget,34.0,Picture Frame,DEFER_C_UNPROVEN,toast 미실증 + 드래그 선택 primitive + 사진 fixture,human_confirmed_2026-06-11
wave3,스팸 메시지 및 번호 차단 확인 TC,76.0,,DEFER_B_COMPOSE,"compose 대량 입력 — MSG_325 중복(시트 상이), B 게이트 후 길이 검증은 dump 판정 가능",human_confirmed_2026-06-11
wave3,스팸 메시지 및 번호 차단 확인 TC,80.0,,ALREADY_LEDGERED,DEFER ledger A-4 (SPM 80 — 차단 메시지 fixture 외부 의존),human_confirmed_2026-06-11
