tc_id,source_file,original_entry_detail,extracted_token,adjudication_class,resolution_requirement,proposed_keycode,rationale,required_decision
ALTBASIC_HDK_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ↓) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↓) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,20,single determinable key -> DPAD_DOWN,none
ALTBASIC_HDK_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ↓) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↑) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,19,single determinable key -> DPAD_UP,none
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키(전체) 버튼을 누른다.,AMBIGUOUS_RETAIN,ADJUDICATE_AMBIGUOUS,,all/any/every marker,spec_clarification
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( ↑) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,19,single determinable key -> DPAD_UP,none
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( → ) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,22,single determinable key -> DPAD_RIGHT,none
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( ↓ ) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,20,single determinable key -> DPAD_DOWN,none
ALTBASIC_HDK_056,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( → ) 버튼을 누른다.,Navi 키( → ) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,22,single determinable key -> DPAD_RIGHT,none
ALTBASIC_HDK_062,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( ←) 버튼을 반복하여 누른다.,Navi 키( ←) 버튼을 반복하여 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,21,single determinable key -> DPAD_LEFT,none
ALTBASIC_HDK_064,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다.,Navi 키(전체) 버튼을 누른다.,AMBIGUOUS_RETAIN,ADJUDICATE_AMBIGUOUS,,all/any/every marker,spec_clarification
ALTBASIC_HDK_070,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다. > press_key:뒤로가기 / 지움|취소 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_094,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_096,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( ↓ ) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,20,single determinable key -> DPAD_DOWN,none
ALTBASIC_HDK_097,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_098,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_099,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_100,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_101,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_HDK_102,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,23,single determinable key -> DPAD_CENTER,none
ALTBASIC_QPN_142,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press back 또는 cancel,Press back 또는 cancel,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_006,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 메인화면 페이지 > press_key:네비키 또는 OK키 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_010,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 홈화면 > press_key:네비키나 OK키 입력 > press_key:Press Right 3회 입력,네비키나 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:1. 홈화면 > press_key:네비키나 OK키 입력 > press_key:Press Down,네비키나 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_016,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:앱 서랍 포커스 되지 않은 상태 > 네비키 또는 OK키 입력 > navigate:[앱 서랍 진입 설명 추가 필요],네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_017,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 우방향키 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_018,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 우방향키 누른 상태로 유지,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_019,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 하방향키 누른 상태로 유지,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_020,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 앱서랍 진입 > 네비키 또는 OK키 입력 > 하방향키 누른 상태로 유지 > press_key:2. 스크롤 마지막 앱에 포커스 위치 > 상방향키 누른 상태로 유지,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_021,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:단축다이얼 Page > 네비키 또는 Ok키 입력,네비키 또는 Ok키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_022,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > 하방향키 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_023,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > 하방향키 입력 > 우방향키 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_024,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > 하방향키 입력 > 우방향키 3회 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_026,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈화면 > 네비키 또는 OK키 입력 > press_key:우방향키 누른 상태로 유지,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_027,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:네비키 또는 OK키 입력 > 상방향키 누른 상태로 유지,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_029,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:네비키 또는 OK키 입력 > 하방향키 누른 상태로 유지,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_030,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:네비키 또는 OK키 입력 > 상방향키 입력하여 편집 버튼에 포커스 위치 > press_key:하방향키 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_044,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_045,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up > press_key:Press Ok,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_046,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 2회 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_047,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 2회 입력 > press_key:Press Ok,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_048,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 3회 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_049,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 3회 입력 > press_key:Press Ok,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
ALTBASIC_LCH_050,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:간편 설정 페이지 > 네비키 또는 OK키 입력 > press_key:Press Up 4회 입력,네비키 또는 OK키 입력,DISJUNCTION_CHOICE,ADJUDICATE_DISJUNCTION_CHOICE,,disjunction (either/or) — intent choice,intent_choice
