row_key,sheet,tc_id,verdict,defect_class,redesign_pattern,defer_category,cue_flags,confidence,reason,pass
1.Basic principle#60.0,1.Basic principle,60.0,REVIEW,,observe_split,F_misc,mutation,0.62,expected2 'Volume Max까지 설정' 영속 볼륨값 변경 mutation → assert 분리,pass1
1.Basic principle#61.0,1.Basic principle,61.0,REVIEW,,observe_split,F_misc,mutation,0.62,expected2 '진동으로 설정' 음향모드 영속 변경 mutation → assert 분리,pass1
1.Basic principle#62.0,1.Basic principle,62.0,REVIEW,D5_mutation,roundtrip_restore,D_system_state,none,0.72,Vol Up→취소; 조절바 사라짐이나 음량변경 부작용 잔존,strict2
1.Basic principle#63.0,1.Basic principle,63.0,REVIEW,D5_mutation,observe_split,D_system_state,none,0.72,Vol Up→3초방치 조절바 사라짐; 음량변경+시간기반 소멸,strict2
1.Basic principle#64.0,1.Basic principle,64.0,REVIEW,D5_mutation,observe_split,D_system_state,none,0.72,Vol Up→Navi Down 더보기 포커스; 음량변경 부작용 동반,strict2
1.Basic principle#65.0,1.Basic principle,65.0,REVIEW,,-,D_system_state,fixture,0.62,PIN 잠금 상태 사전 설정 필요(시스템 상태 pre). 키입력 후 잠금 유지 관찰,pass1
1.Basic principle#66.0,1.Basic principle,66.0,REVIEW,,transient_input,C_verifier,"input,fixture",0.6,"숫자 입력 노출·일정시간 후 Hidden 검증 = transient input verifier, PIN fixture 필요",pass1
1.Basic principle#67.0,1.Basic principle,67.0,REVIEW,,transient_input,D_system_state,"input,fixture",0.6,"올바른 PIN 입력 잠금해제, PIN fixture 전제 + 입력값 검증 필요",pass1
1.Basic principle#68.0,1.Basic principle,68.0,REVIEW,,transient_input,D_system_state,"input,fixture",0.62,"틀린 PIN 입력 후 오류문구·잠금유지 검증, PIN fixture + 입력 전제",pass1
1.Basic principle#69.0,1.Basic principle,69.0,REVIEW,,transient_input,D_system_state,"input,fixture",0.62,"숫자 입력값 PIN창 반영 검증, PIN fixture + input 검증 필요",pass1
1.Basic principle#70.0,1.Basic principle,70.0,REVIEW,,-,D_system_state,"input,fixture",0.6,"PIN 잠금·키패드 노출 fixture 전제, 버튼 입력 후 PIN 화면 노출 관찰",pass1
1.Basic principle#71.0,1.Basic principle,71.0,KEEP,none,-,-,none,0.82,홈서 Navi키 입력시 포커스 활성화되어 전화앱(고정) 위치 - focus 이동 assert만,strict2
1.Basic principle#72.0,1.Basic principle,72.0,KEEP,none,-,-,none,0.8,포커스 활성서 Navi Up시 갤러리앱 아이콘으로 포커스 이동 - focus 이동 assert만,strict2
1.Basic principle#73.0,1.Basic principle,73.0,KEEP,none,-,-,none,0.8,포커스 활성서 Navi Down시 앱서랍 진입 - 화면전환 assert만,strict2
1.Basic principle#74.0,1.Basic principle,74.0,REVIEW,,-,E_binding,fixture,0.6,"간편모드·Message App 포커스 위치 fixture 전제, 리스트 binding 미결",pass1
1.Basic principle#75.0,1.Basic principle,75.0,REVIEW,,-,E_binding,fixture,0.6,"간편모드·Camera App 포커스 위치 fixture 전제, 홈 레이아웃 binding 미결",pass1
1.Basic principle#76.0,1.Basic principle,76.0,REVIEW,,-,E_binding,fixture,0.58,"일반모드 Grid 특정 위치(Gmail) 포커스 검증, 홈 앱배치 fixture/binding 필요",pass1
1.Basic principle#77.0,1.Basic principle,77.0,REVIEW,,-,E_binding,fixture,0.55,"procedure 공란, Grid 1·2행 앱 없는 fixture 전제, 3행 포커스 binding 미결",pass1
1.Basic principle#78.0,1.Basic principle,78.0,REVIEW,,-,E_binding,fixture,0.58,"특정 Grid 위치 앱 포커스 활성화 fixture 전제, 이동 binding 미결",pass1
1.Basic principle#91.0,1.Basic principle,91.0,REVIEW,,-,A_fixture,fixture,0.58,"4개 항목 다중선택 리스트 화면 fixture 전제, Dropdown 초점 이동·색상 검증",pass1
1.Basic principle#120.0,1.Basic principle,120.0,KEEP,none,popup_cancel,-,none,0.78,더보기 Tap→돌아가기시 Dropdown 닫히고 포커스 더보기 유지 - 닫힘/focus assert,strict2
1.Basic principle#121.0,1.Basic principle,121.0,KEEP,none,popup_cancel,-,none,0.8,"더보기 탭으로 dropdown 연 뒤 하드키 취소로 닫힘+더보기 아이콘 focus 유지. 고정 아이콘 focus assert, mutation 없음",strict2
1.Basic principle#124.0,1.Basic principle,124.0,KEEP,none,popup_cancel,-,none,0.72,"dropdown 활성 후 뒤로가기로 첫 항목 focus 소실. focus 부재 관찰 가능, 사용자 데이터 아님, mutation 없음",strict2
10.Weather widget#1.0,10.Weather widget,1.0,REVIEW,,-,C_verifier,external,0.74,"OK로 네트워크 업데이트 호출+토스트 검증, 외부데이터/toast verifier 미실증",pass1
10.Weather widget#2.0,10.Weather widget,2.0,REVIEW,,-,D_system_state,fixture,0.74,"15분 내 미업데이트 시간상태 pre 필요, 토스트·미업데이트 관찰",pass1
10.Weather widget#3.0,10.Weather widget,3.0,REVIEW,D1_fixture,observe_split,A_fixture,none,0.62,"홈 위젯 focus 순서 검증, 날씨/갤러리 위젯 콘텐츠 존재 전제. 사용자 데이터 의존",strict2
10.Weather widget#4.0,10.Weather widget,4.0,REVIEW,D1_fixture,observe_split,A_fixture,none,0.62,"갤러리>날씨 위젯 focus 순서, 갤러리/위젯 콘텐츠 존재 전제. 사용자 데이터 의존",strict2
10.Weather widget#5.0,10.Weather widget,5.0,REVIEW,D1_fixture,observe_split,A_fixture,none,0.6,"라디오/메시지/갤러리 위젯 focus, 메시지앱·위젯 콘텐츠 존재 전제. 사용자 데이터 의존",strict2
11.Hard Key#1.0,11.Hard Key,1.0,REVIEW,,roundtrip_restore,D_system_state,"mutation,fixture",0.72,"음악/라디오 청취중 pre+볼륨버튼 미디어볼륨 영속변경, 복원 분리 필요",pass1
11.Hard Key#2.0,11.Hard Key,2.0,REVIEW,,roundtrip_restore,D_system_state,mutation,0.72,"잠금화면 볼륨버튼으로 볼륨 영속 증감, 시스템 볼륨상태 변경",pass1
11.Hard Key#3.0,11.Hard Key,3.0,REVIEW,,roundtrip_restore,D_system_state,mutation,0.72,"볼륨 길게눌러 최대/진동상태까지 영속 변경, 사운드모드 mutation",pass1
11.Hard Key#4.0,11.Hard Key,4.0,REVIEW,,roundtrip_restore,D_system_state,mutation,0.72,"볼륨버튼 변경 후 그래프 사라짐 관찰, 시스템 볼륨 mutation 동반",pass1
11.Hard Key#5.0,11.Hard Key,5.0,REVIEW,,roundtrip_restore,D_system_state,mutation,0.72,"볼륨버튼 변경+3초후 그래프 자동소멸 관찰, 볼륨 mutation 동반",pass1
11.Hard Key#6.0,11.Hard Key,6.0,REVIEW,,roundtrip_restore,D_system_state,mutation,0.72,"홈화면 볼륨 단발/길게로 볼륨·진동상태 영속 변경, 시스템 mutation",pass1
11.Hard Key#7.0,11.Hard Key,7.0,REVIEW,,observe_split,D_system_state,mutation,0.7,"볼륨+Navi키로 진동/무음/알림 모드 선택 노출, 사운드모드 변경 가능",pass1
11.Hard Key#8.0,11.Hard Key,8.0,REVIEW,,observe_split,D_system_state,mutation,0.7,"볼륨+Navi키로 설정 버튼 활성 관찰, 볼륨변경 시스템 mutation 동반",pass1
11.Hard Key#9.0,11.Hard Key,9.0,REVIEW,D2_verifier,-,C_verifier,none,0.85,앞면 불빛+mini LCD 별도 디스플레이 노출 검증. 고정 텍스트 assert 불가,strict2
11.Hard Key#10.0,11.Hard Key,10.0,REVIEW,,-,A_fixture,"fixture,external",0.85,"보호자 설정·위치보내기 활성 fixture 전제, 위치를 보호자에게 발송 외부효과",pass1
11.Hard Key#11.0,11.Hard Key,11.0,REVIEW,,selection_gated,A_fixture,fixture,0.72,"SOS 짧게에 설정된 앱 실행→앱 등록 fixture 전제, 실행 결과 검증",pass1
11.Hard Key#12.0,11.Hard Key,12.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.6,SOS 길게서 등록하기/동의 탭 시 보호자 등록 페이지 이동. 모드선택·외부효과 경로,strict2
11.Hard Key#13.0,11.Hard Key,13.0,REVIEW,,-,A_fixture,"fixture,external",0.85,"보호자 설정 fixture 전제, 위치를 보호자에게 발송 외부효과",pass1
11.Hard Key#15.0,11.Hard Key,15.0,REVIEW,D2_verifier,-,C_verifier,none,0.82,"SUB LCD 별도 디스플레이 변경 검증, 음악 실행 상태 의존. 고정 assert 불가",strict2
11.Hard Key#16.0,11.Hard Key,16.0,KEEP,none,-,-,none,0.72,"최근앱 버튼 시 '최근항목이 없습니다' 고정 텍스트. 빈 recents=기본 상태, presence assert 가능",strict2
11.Hard Key#17.0,11.Hard Key,17.0,REVIEW,,-,A_fixture,fixture,0.7,"최근앱 리스트 위해 앱 진입후 나감 fixture 전제, 모두닫기는 라벨 노출",pass1
11.Hard Key#18.0,11.Hard Key,18.0,REVIEW,D3_prestate,observe_split,B_compose,none,0.78,precondition '임의의 앱 실행' 선행 셋업 전제. 홈 이동 자체는 OK이나 prestate 의존,strict2
11.Hard Key#19.0,11.Hard Key,19.0,KEEP,none,-,-,none,0.72,"홈 길게 시 퀵패널 열림. 화면 전환 관찰, 앱실행 선택('혹은'), mutation 없음",strict2
11.Hard Key#20.0,11.Hard Key,20.0,REVIEW,D3_prestate,observe_split,B_compose,none,0.72,"precondition '임의의 앱 실행' 선행 셋업, expected '이전 화면' 가변 모호. prestate 의존",strict2
11.Hard Key#21.0,11.Hard Key,21.0,KEEP,none,-,-,none,0.78,"연락처 버튼 시 화면 이동, 빈 시 '연락처가 없습니다'+'새 연락처 만들기' 고정 텍스트. 빈 상태 명시",strict2
11.Hard Key#22.0,11.Hard Key,22.0,KEEP,none,-,-,none,0.8,"카메라 버튼 시 카메라 화면 이동. 화면 전환 관찰만, mutation 없음",strict2
11.Hard Key#23.0,11.Hard Key,23.0,KEEP,none,-,-,none,0.74,"메시지 버튼 시 보관함 이동, 설정 리스트 고정 라벨, 빈 시 '대화가 없습니다'. fixed 요소 assert",strict2
11.Hard Key#24.0,11.Hard Key,24.0,REVIEW,,selection_gated,A_fixture,fixture,0.7,앱 선택 등록후 즐겨찾기 이동 검증→등록 mutation·fixture 혼합,pass1
11.Hard Key#25.0,11.Hard Key,25.0,REVIEW,,observe_split,A_fixture,"fixture,external",0.84,"연속2번/재누름이 최근연락처로 통화 연결=외부효과, 통화기록 fixture 혼합",pass1
11.Hard Key#26.0,11.Hard Key,26.0,REVIEW,,transient_input,C_verifier,input,0.78,"문자 입력중 마지막/전체 문자 지움 검증=transient input, 영속 mutation 아님",pass1
11.Hard Key#27.0,11.Hard Key,27.0,REVIEW,,observe_split,D_system_state,external,0.78,"통화중 종료=통화 종료 외부효과·활성통화 전제, 전원 팝업 노출 혼합",pass1
11.Hard Key#28.0,11.Hard Key,28.0,REVIEW,,observe_split,A_fixture,"fixture,external",0.82,키패드 길게→단축번호 등록자 통화 연결=외부효과·단축등록 fixture 혼합,pass1
11.Hard Key#29.0,11.Hard Key,29.0,REVIEW,,transient_input,D_system_state,input,0.8,PIN 잠금 설정 전제·PIN 입력후 OK로 잠금해제=시스템 상태조작,pass1
11.Hard Key#30.0,11.Hard Key,30.0,REVIEW,,transient_input,D_system_state,input,0.8,"PIN 잠금 설정 전제, 비밀번호 일부 입력 transient 검증·시스템 상태 pre",pass1
11.Hard Key#31.0,11.Hard Key,31.0,REVIEW,,transient_input,D_system_state,input,0.79,"비밀번호 잠금 설정 전제, 키패드 전환 transient input 검증",pass1
11.Hard Key#32.0,11.Hard Key,32.0,REVIEW,,observe_split,D_system_state,input,0.78,"* 길게→진동모드 변경=영속 토글, IME변경·다이얼입력 transient 혼합",pass1
11.Hard Key#33.0,11.Hard Key,33.0,REVIEW,,observe_split,D_system_state,input,0.78,"# 길게→화면잠금 실행/해제=시스템 상태조작, 띄어쓰기·다이얼입력 혼합",pass1
11.Hard Key#34.0,11.Hard Key,34.0,KEEP,none,-,-,none,0.78,"초점 포인트 없을 때 버튼 시 초점 생성. focus 요소 presence assert, mutation 없음",strict2
11.Hard Key#35.0,11.Hard Key,35.0,KEEP,none,-,-,none,0.8,"Navi↑ 짧게/길게 시 초점 위쪽 이동. focus 이동 관찰만, 초점 존재 precondition 명시, mutation 없음",strict2
11.Hard Key#36.0,11.Hard Key,36.0,KEEP,none,-,-,none,0.8,"Navi↓ 짧게/길게 시 초점 아래쪽 이동. focus 이동 관찰만, mutation 없음",strict2
11.Hard Key#37.0,11.Hard Key,37.0,KEEP,none,-,-,none,0.8,"Navi← 짧게/길게 시 초점 왼쪽 이동. focus 이동 관찰만, mutation 없음",strict2
11.Hard Key#38.0,11.Hard Key,38.0,KEEP,none,-,-,none,0.8,"Navi→ 짧게/길게 시 초점 오른쪽 이동. focus 이동 관찰만, mutation 없음",strict2
11.Hard Key#39.0,11.Hard Key,39.0,REVIEW,D5_mutation,observe_split,E_binding,none,0.62,OK 시 앱/시스템 진입=화면전환 부작용. 진입 대상 비결정·외부효과 경로,strict2
11.Hard Key#40.0,11.Hard Key,40.0,REVIEW,,transient_input,D_system_state,input,0.8,"PIN 잠금 설정 전제, Navi키로 비번 입력후 진입=시스템 상태조작",pass1
11.Hard Key#41.0,11.Hard Key,41.0,KEEP,none,-,-,none,0.76,"홈서 Navi 시 전화앱 초점 활성, ↓ 더이상 이동 안함. focus 경계 assert, mutation 없음",strict2
11.Hard Key#42.0,11.Hard Key,42.0,KEEP,none,-,-,none,0.74,"홈서 Navi↑ 반복 시 초점 위로 이동·전화앱서 시작. focus 이동 관찰만, mutation 없음",strict2
11.Hard Key#43.0,11.Hard Key,43.0,KEEP,none,-,-,none,0.78,"최하단 초점서 Navi↑ 시 한단계 위 이동. precondition에 초점위치 명시, focus 이동 관찰만",strict2
11.Hard Key#44.0,11.Hard Key,44.0,KEEP,none,-,-,none,0.72,"2번째 홈 grid서 Navi↓ 꾹 시 초점 순차 이동. 고정 앱 grid, focus 이동만, mutation 없음",strict2
11.Hard Key#45.0,11.Hard Key,45.0,KEEP,none,-,-,none,0.72,"세번째 우측앱 초점서 Navi↑ 꾹 시 상단 좌측까지 이동. 고정 grid focus 이동만, mutation 없음",strict2
11.Hard Key#46.0,11.Hard Key,46.0,KEEP,none,-,-,none,0.72,"상단 우측앱 초점서 Navi↓ 꾹 시 하단 전화앱까지 이동. 고정 grid focus 이동만, mutation 없음",strict2
11.Hard Key#47.0,11.Hard Key,47.0,KEEP,none,-,-,none,0.72,"하단 좌측앱 초점서 Navi↑ 꾹 시 상단 좌측까지 이동. 고정 grid focus 이동만, mutation 없음",strict2
11.Hard Key#48.0,11.Hard Key,48.0,REVIEW,,observe_split,D_system_state,none,0.6,퀵패널 WiFi 초점 이동만이나 PRIVILEGED·WiFi 토글 영속변경 인접 위험,pass1
11.Hard Key#49.0,11.Hard Key,49.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.6,퀵패널서 펼치기 OK 시 전체메뉴 펼침=상태변경 부작용. 토글성 동작,strict2
11.Hard Key#50.0,11.Hard Key,50.0,KEEP,none,popup_cancel,-,none,0.68,"퀵패널 전체화면서 뒤로가기 시 분할화면 복귀+WIFI 초점. 화면전환 관찰, WIFI 고정 요소 assert",strict2
11.Hard Key#51.0,11.Hard Key,51.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.58,위쪽 아이콘 OK 누름이 분할화면 전환 트리거=선택 부작용 경로. 단순 노출 아님,strict2
11.Hard Key#52.0,11.Hard Key,52.0,KEEP,none,popup_cancel,-,none,0.7,"종료팝업서 Navi→ 반복 시 응급전화/기기종료/재시작 초점 순환. focus 이동 관찰만, 실행 안함",strict2
11.Hard Key#53.0,11.Hard Key,53.0,KEEP,none,popup_cancel,-,none,0.7,"종료팝업서 Navi← 시 응급전화/재시작/기기종료 초점 이동. focus 이동 관찰만, 실행 안함",strict2
11.Hard Key#54.0,11.Hard Key,54.0,KEEP,none,popup_cancel,-,none,0.7,"종료팝업서 Navi↓↑ 시 재시작/응급전화 초점 이동. focus 이동 관찰만, 실행 안함",strict2
11.Hard Key#55.0,11.Hard Key,55.0,KEEP,none,-,-,none,0.76,"메시지앱서 Navi 순회 시 작성/검색/더보기 focus. 고정 툴바 요소 focus assert, 메시지 데이터 불요",strict2
11.Hard Key#56.0,11.Hard Key,56.0,KEEP,none,-,-,none,0.78,"설정 버튼 활성서 Navi→ 시 더이상 이동 안함·설정 버튼 유지. focus 경계 assert, mutation 없음",strict2
11.Hard Key#57.0,11.Hard Key,57.0,REVIEW,,-,A_fixture,fixture,0.62,"메세지에 초점 활성 전제=대화/메세지 존재 fixture, ↓로 하단 메세지 초점 이동",pass1
11.Hard Key#58.0,11.Hard Key,58.0,REVIEW,D1_fixture,observe_split,A_fixture,none,0.62,메시지 초점 전제+하단 메시지로 이동=대화 기록 존재 의존. 사용자 메시지 데이터 fixture,strict2
11.Hard Key#59.0,11.Hard Key,59.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.55,메시지 OK 길게로 선택 체크+쓰레기통/더보기 활성=선택 모드 진입. 기존 메시지 데이터 전제,strict2
