sheet,tc_id,functionality,procedure,expected,csv_safety_prev,classification,reason,fixture_dependency,input_flag
29.Clock,50.0,알람 라벨 설정 - 확인,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 임의의 라벨 입력 후 확인 버튼 선택,1. 입력된 라벨이 설정되고 알람 list에 반영 된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(확인) = mutation,N,Y
29.Clock,51.0,알람 라벨 설정 - 취소,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 임의의 라벨 입력 후 취소 버튼 선택,1. 라벨 입력이 취소되고 알람 list에 반영 안된다,INPUT_REQUIRED,REVIEW_QUEUE,"라벨 입력 후 취소 — transient input, fixture+no-save 설계 필요",Y,Y
29.Clock,52.0,알람 라벨 설정 - 한글,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 한글 입력 후 확인 버튼 선택,1. 라벨에 한글 입력된 값이 노출된다 2. 알람 발생 시 한글 입력된 라벨이 출력된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(한글) = mutation + 알람 발생 검증,N,Y
29.Clock,53.0,알람 라벨 설정 - 영문,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 영문 입력 후 확인 버튼 선택,1. 라벨에 영문 입력된 값이 노출된다 2. 알람 발생 시 영문 입력된 라벨이 출력된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(영문) = mutation + 알람 발생 검증,N,Y
29.Clock,54.0,알람 라벨 설정 - 숫자,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 숫자 입력 후 확인 버튼 선택,1. 라벨에 숫자 입력된 값이 노출된다 2. 알람 발생 시 숫자 입력된 라벨이 출력된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(숫자) = mutation + 알람 발생 검증,N,Y
29.Clock,55.0,알람 라벨 설정 - 기호,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 기호 입력 후 확인 버튼 선택,1. 라벨에 기호 입력된 값이 노출된다 2. 알람 발생 시 기호 입력된 라벨이 출력된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(기호) = mutation + 알람 발생 검증,N,Y
29.Clock,56.0,알람 라벨 설정 - 조합,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 한글/영문/숫자/기호 조합하여 입력 후 확인 버튼 선택,1. 라벨에 조합 입력된 값이 노출된다 2. 알람 발생 시 조합으로 입력된 라벨이 출력된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(조합) = mutation + 알람 발생 검증,N,Y
29.Clock,57.0,알람 라벨 설정 - 조합,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 한글/영문/숫자/기호 조합하여 입력 후,최대 40글자까지 입력 가능하고 이상 입력시 '더 이상 입력할 수 없습니다.'문구 표시됨 (타이머 라벨도 동일함),INPUT_REQUIRED,REVIEW_QUEUE,"최대 40자 입력 제한 검증 — transient input(저장 미명시), fixture",Y,Y
29.Clock,58.0,알람 라벨 설정 - 중복,1. 시계 앱 실행 2. 설정된 알람 우측 하단 확장 버튼 TAP 3. 라벨 TAP 4. 기존 라벨명과 동일하게 라벨명 설정,이전 라벨명과 동일하게 라벨명 설정 가능하다.,NAVIGATION_ONLY,EXCLUDE,중복 라벨명 설정(저장) = mutation,N,N
29.Clock,59.0,알람 라벨 설정 - 공백,1. 시계 앱 실행 2. 설정된 알람 우측 하단 확장 버튼 TAP 3. 라벨 TAP 4. 라벨의 이름을 모두 지운다. 4-1. 라벨의 이름을 모두 지운 후 스페이스를 누른다.,"1. 입력 불가능 안내문이 하단에 노출된다. 1-1. 붉은색 텍스트로 ""알람 이름을 입력해주세요."" 2. 확인 버튼이 비활성화 된다. 3. 이후 다른 이름을 재입력하면 다시 활성화되며, 안내문 또한 사라진다.",INPUT_REQUIRED,REVIEW_QUEUE,"공백 검증 — 확인 비활성(저장 불가), transient input + fixture",Y,Y
29.Clock,60.0,알람라벨 설정 - 최대문자 + 1,1. 시계 앱 실행 2. 설정된 알람 우측 하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨에 작성할 수 있는 최대 문자보다 더 많은 양의 문자를 기입한다.,"1. 입력 불가능 안내문이 하단에 노출된다. 1-1. 붉은색 텍스트로 ""더 이상 입력할 수 없습니다."" 2. 확인 버튼이 비활성화된다. 3. 문자를 최대 허용치만큼 지우거나 변경시키면 다시 확인 버튼이 활성화되며 안내문 또한 사라진다.",INPUT_REQUIRED,REVIEW_QUEUE,"최대문자+1 검증 — 확인 비활성, transient input + fixture",Y,Y
29.Clock,61.0,알람 라벨 설정 - 특수문자,"1. 시계 앱 실행 2. 설정된 알람의 우측 하단 확장 버튼 Tap 3. 라벨 Tap 4. 라벨의 이름에 "" / : * ? "" 중 하나 입력","1. 입력 불가능 안내문이 하단에 노출된다. 1-1. "" / : * ? 는 입력할 수 없습니다."" 2. 확인 버튼이 비활성화된다.",INPUT_REQUIRED,REVIEW_QUEUE,"특수문자 차단 검증 — 확인 비활성, transient input + fixture",Y,Y
29.Clock,62.0,알람 - 활성화,1. 시계 앱 실행 2. 알람 추가 한다 3. 추가한 알람 우측에 비활성화 버튼 Tap,1. 알람이 활성화 된다 2. 해당 시간에 알람 발생된다,INPUT_REQUIRED,EXCLUDE,알람 추가+활성화 = mutation + 알람 발생,N,N
29.Clock,64.0,알람 - 비활성화,1. 시계 앱 실행 2. 알람 추가 한다 3. 추가한 알람 우측에 활성화 버튼 Tap,1. 알람이 비활성화 된다 2. 해당 시간에 알람 발생되지 않는다,INPUT_REQUIRED,EXCLUDE,알람 추가+비활성화 = mutation,N,N
29.Clock,65.0,세계시간 앱 실행,1. 시계 앱 실행 2. 화면 하단 세계시간 Tap,1. 현재 시간 정보가 노출된다 2. 화면 상단 세계 시간 추가 버튼이 노출 된다,NAVIGATION_ONLY,KEEP,clean-state 세계시간 탭 observe; pre=세계시간 미설정,N,N
29.Clock,66.0,세계시간 앱 실행,1. 시계 앱 실행 2. 화면 하단 세계시간 Tap,1. 현재 시간 정보가 노출된다 2. 설정된 세계 시간 list가 표시 된다 3. 세계 시간 추가 버튼이 노출 된다,NAVIGATION_ONLY,REVIEW_QUEUE,fixture: 세계시간 등록 전제,Y,N
29.Clock,67.0,세계시간 앱 실행,1. 시계 앱 실행 2. 화면 하단 세계시간 Tap,세계 시간이 노출된 영역을 롱탭시 아무 반응 없어야 함.,NAVIGATION_ONLY,REVIEW_QUEUE,"롱탭 negative assert(무반응) — 행위 포함, 검증 재설계",N,N
29.Clock,68.0,타이머 앱 실행,1. 시계 앱 실행 2. 화면 하단 타이머 Tap,1. 타이머 설정 화면으로 전환된다 2. 시간 입력할 수 있는 숫자 버튼이 노출된다 3. 화면 하단 이전 화면 전환 버튼이 노출된다 4. 화면 하단 타이머 Icon이 활성화 된다,INPUT_REQUIRED,KEEP,clean-state 타이머 탭 observe; pre=타이머 미설정,N,N
29.Clock,69.0,타이머 앱 실행,1. 시계 앱 실행 2. 화면 하단 타이머 Tap,1. 타이머 설정 화면으로 전환된다. 2. 기존에 설정한 타이머 화면이 노출된다 3. 하단 타이머 추가 버튼이 노출된다,NAVIGATION_ONLY,REVIEW_QUEUE,fixture: 타이머 존재 전제,Y,N
29.Clock,70.0,타이머 Play,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 설정된 시간으로 Play,1. 설정된 시간으로 타이머 진행된다,NAVIGATION_ONLY,EXCLUDE,타이머 Play = 실행,N,N
29.Clock,71.0,타이머 Pause,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 설정된 시간으로 Play 4. Pause 버튼 Tap,1. 진행중인 타이머가 Pause 된다 2. 시간 하단 reflash 버튼 노출된다,NAVIGATION_ONLY,EXCLUDE,타이머 Play+Pause = 실행,N,N
29.Clock,73.0,타이머 Stop,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 설정된 시간으로 Play 4. 설정된 시간이 지나도록 방치 5. Stop 버튼 Tap,1. 설정된 시간이 넘는 경우 Beep음 처리된다 2. 지난 시간은 마이너스 표시 된다 3. 타이머 Stop 된다,NAVIGATION_ONLY,EXCLUDE,타이머 만료 방치+Stop = 실행+Beep,N,N
29.Clock,74.0,타이머 추가,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 설정할 타이머 시간 입력 (ex 1시간) 4. Play 버튼 Tap,"1. 버튼 입력에 대해 사용자가 인지할 수 있어야 한다 2. 입력된 시간이 설정되고 타이머 진행 화면이 노출 된다 3. 시간 하단에 ""1분 추가"" 버튼이 노출된다 4. 시간 하단에 Pause 버튼이 노출된다 5. 화면 하단에 타이머 추가 버튼이 노출된다",INPUT_REQUIRED,EXCLUDE,타이머 입력+Play = 실행,N,Y
29.Clock,75.0,타이머 추가,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 설정할 타이머 시간 입력,초와 분을 입력시엔 60 이상의 숫자를 입력할 수 없다.,INPUT_REQUIRED,REVIEW_QUEUE,60 이상 입력 제한 검증 — transient input(Play 미실행),N,Y
29.Clock,76.0,타이머 추가 - 시간,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 시간 항목에 Tap,1. 미 선택된 상태에서 시간 영역은 White로 노출 2. Tap 시 시간 영역은 White로 노출 3. 시간 입력 후 시간 영역은 진한 하늘색으로 노출,INPUT_REQUIRED,REVIEW_QUEUE,색상 verifier(text dump 불가) + transient input — screenshot 검증 재설계,N,Y
29.Clock,77.0,타이머 추가 - 분,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 분 항목에 Tap,1. 미선택된 영역은 하얀색으로 노출 2. 선택된 영역은 진한 하늘색으로 노출,NAVIGATION_ONLY,REVIEW_QUEUE,"색상 verifier — text dump 불가, screenshot 검증 재설계",N,N
29.Clock,78.0,타이머 추가 - 초,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 초 항목에 Tap,1. 미선택된 영역은 하얀색으로 노출 2. 선택된 영역은 진한 하늘색으로 노출,NAVIGATION_ONLY,REVIEW_QUEUE,"색상 verifier — text dump 불가, screenshot 검증 재설계",N,N
29.Clock,79.0,타이머 이전화면 전환,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 설정할 타이머 시간 입력 (ex 1시간) 4. Back 버튼 Tap,1. 시계앱이 종료된다.,INPUT_REQUIRED,REVIEW_QUEUE,"시간 입력+Back 종료 — transient input, 앱 종료 assert",N,Y
29.Clock,80.0,타이머 추가,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 추가 버튼 Tap 4. 설정할 타이머 시간 입력 (ex 1시간) 5. Play 버튼 Tap,1. 기존 설정된 타이머 상단에 추가한 타이머가 노출된다 2. 설정한 타이머가 시간이 진행된다. 3. 이전에 설정한 타이머는 하단에 표시된다,INPUT_REQUIRED,EXCLUDE,타이머 추가+Play = 실행,N,Y
29.Clock,81.0,타이머 - 1분 추가,"1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 진행 중 ""1분 추가"" 버튼 Tap",1. 설정된 시간에서 1분 추가 되어야 한다,NAVIGATION_ONLY,EXCLUDE,1분 추가 — 진행 중 타이머 전제 = 실행,Y,N
29.Clock,82.0,타이머 - 라벨 추가,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap,1. 라벨 입력 할 수 있는 팝업창 발생된다 2. 취소/확인 버튼 노출된다,INPUT_REQUIRED,REVIEW_QUEUE,라벨 팝업 노출 observe — 타이머 컨텍스트 모호(pre 공백),N,N
29.Clock,83.0,타이머 - 라벨 추가 - 확인버튼,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 라벨 입력 후 확인 버튼 Tap,1. 입력된 라벨이 타이머 상단에 노출 된다,INPUT_REQUIRED,EXCLUDE,라벨 저장 = mutation,N,Y
29.Clock,84.0,타이머 - 라벨 추가 - 한글,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 한글로 라벨 입력 후 확인 버튼 Tap,1. 한글 입력된 라벨이 타이머 상단에 노출된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(한글) = mutation,N,Y
29.Clock,85.0,타이머 - 라벨 추가 - 영문,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 영문으로 라벨 입력 후 확인 버튼 Tap,1. 영문 입력된 라벨이 타이머 상단에 노출된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(영문) = mutation,N,Y
29.Clock,86.0,타이머 - 라벨 추가 - 숫자,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 숫자로 라벨 입력 후 확인 버튼 Tap,1. 숫자 입력된 라벨이 타이머 상단에 노출된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(숫자) = mutation,N,Y
29.Clock,87.0,타이머 - 라벨 추가 - 기호,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 기호로 라벨 입력 후 확인 버튼 Tap,1. 기호 입력된 라벨이 타이머 상단에 노출된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(기호) = mutation,N,Y
29.Clock,88.0,타이머 - 라벨 추가 - 조합,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 한글/영문/숫자/기호로 라벨 입력 후 확인 버튼 Tap,1. 조합으로 입력된 라벨이 타이머 상단에 노출된다,INPUT_REQUIRED,EXCLUDE,라벨 저장(조합) = mutation,N,Y
29.Clock,89.0,타이머 - 라벨 추가 - 취소버튼,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 라벨 입력 후 취소 버튼 Tap,1. 입력된 라벨이 타이머에 반영 안된다,INPUT_REQUIRED,REVIEW_QUEUE,"라벨 입력 후 취소 — transient input, fixture",Y,Y
29.Clock,90.0,타이머 라벨 설정 - 중복,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 기존 라벨명과 동일하게 라벨명 설정,이전 라벨명과 동일하게 라벨명 설정 가능하다.,NAVIGATION_ONLY,EXCLUDE,중복 라벨 저장 = mutation,N,N
29.Clock,91.0,타이머 라벨 설정 - 공백,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 라벨의 이름을 모두 지운다. 4-1. 라벨의 이름을 모두 지운 후 스페이스를 누른다.,"1. 파일 이름 입력 안내문이 하단에 노출된다. 1-1. 붉은색 텍스트로 ""타이머 이름을 입력해주세요."" 2. 확인 버튼이 비활성화 된다. 3. 이후 다른 이름을 재입력하면 다시 활성화되며, 안내문 또한 사라진다.",INPUT_REQUIRED,REVIEW_QUEUE,"공백 검증 — 확인 비활성, transient input + fixture",Y,Y
29.Clock,92.0,타이머 라벨 설정 - 최대문자 + 1,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 라벨에 작성할 수 있는 최대 문자보다 더 많은 양의 문자를 기입한다.,"1. 입력 불가능 안내문이 하단에 노출된다. 1-1. 붉은색 텍스트로 ""더 이상 입력할 수 없습니다."" 2. 확인 버튼이 비활성화된다. 3. 문자를 최대 허용치만큼 지우거나 변경시키면 다시 확인 버튼이 활성화되며 안내문 또한 사라진다.",INPUT_REQUIRED,REVIEW_QUEUE,"최대문자+1 — 확인 비활성, transient input",N,Y
29.Clock,93.0,타이머 라벨 설정 - 특수문자,"1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 좌측 상단 라벨 영역 Tap 4. 라벨명에 "" / : * ? "" 중 하나 입력한다.","1. 입력 불가능 안내문이 하단에 노출된다. 1-1. "" / : * ? 는 입력할 수 없습니다."" 2. 확인 버튼이 비활성화된다.",INPUT_REQUIRED,REVIEW_QUEUE,"특수문자 차단 — 확인 비활성, transient input + fixture",Y,Y
29.Clock,94.0,타이머 삭제,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 우측 상단 삭제 버튼 Tap,1. 타이머가 삭제되고 시간 입력 화면이 노출된다,INPUT_REQUIRED,EXCLUDE,타이머 삭제 = mutation,N,N
29.Clock,95.0,타이머 삭제,1. 시계 앱 실행 2. 화면 하단 타이머 Tap 3. 타이머 우측 상단 삭제 버튼 Tap,1. 해당 타이머가 삭제되고 이전 타이머가 상단으로 이동되어 노출된다,NAVIGATION_ONLY,EXCLUDE,타이머 삭제 = mutation,N,N
29.Clock,96.0,스톱워치 앱실행,1. 시계 앱 실행 2. 화면 하단 스톱워치 Tap,1. 스톱워치 화면이 노출된다 2. 화면구성 - 스톱워치 시간 영역 (00:00 2줄 표시) - Play 버튼 3. 원을 둘러쌓은 선의 색은 회색으로 비활성화 되어 있다.,INPUT_REQUIRED,KEEP,clean-state 스톱워치 화면 observe; 색상 sub-assert는 risk_note 분리,N,N
29.Clock,102.0,스톱워치 구간 기록,1. 시계 앱 실행 2. 화면 하단 스톱워치 Tap > 시작 버튼 Tap 3. 구간 기록 버튼 Tap,1. 랩타임 입력에 따른 list 노출된다 - 랩n / 이전랩타임 차이시간 / 현재 스톱워치 시간 - list는 내림차순으로 노출된다 2. 하단 버튼 노출된다 - 재설정/일시중지/구간 기록,INPUT_REQUIRED,EXCLUDE,스톱워치 시작+구간기록 = 실행,N,N
29.Clock,103.0,스톱워치 구간 기록 Max,1. 시계 앱 실행 2. 화면 하단 스톱워치 Tap > 시작 버튼 Tap 3. 구간 기록 버튼 Tap (반복),1. 구간 기록 list는 99까지 추가된다.,NAVIGATION_ONLY,EXCLUDE,구간기록 99 반복 = 실행 대량,N,N
29.Clock,104.0,스톱워치 Max 시간표시,1. 시계 앱 실행 2. 화면 하단 스톱워치 Tap > 시작 버튼 Tap,1. 스탑워치 누적시간은 99:59:59.99 까지 표시되고 자동으로 멈춘다. 2. 99:59:59.99도달시 하단 토스트 팝업 발생한다. - 100시간 이상 측정할 수 없습니다.(KOR) - You cannot count for more than 100 hours.(ENG),NAVIGATION_ONLY,EXCLUDE,100시간 방치 = 실행 비현실,N,N
29.Clock,105.0,스톱워치 공유,1. 시계 앱 실행 2. 화면 하단 스톱워치 Tap > 시작 버튼 Tap > 일시중지 버튼 Tap 3. 공유 버튼 Tap,"1. 현재 랩타임을 공유할 수 있어야 한다 - 메시지, BT, Quick Share 등..",NAVIGATION_ONLY,EXCLUDE,공유 = 외부 효과(메시지/BT/QuickShare),N,N
29.Clock,106.0,시계 - 설정,1. 시계 > 화면 우상단 더보기 > 설정 2. 자동 기본 시간대 시계 확인,자동 기본 시간대 시계는 Default On으로 되어 있어야 하고 Off/On 토글 가능해야함,INPUT_REQUIRED,REVIEW_QUEUE,재설계: Default On observe 분리(토글 가능 검증 = mutation 부분 제거),N,N
29.Clock,107.0,시계 - 설정,1. 시계 > 더보기 > 설정 Tap 2. 알람 해제 시간,설정한 시간 후 알람이 자동 해제된다. - Default : 10분,NAVIGATION_ONLY,EXCLUDE,알람 자동 해제 대기 = 알람 발생 의존,N,N
29.Clock,108.0,시계 - 설정,1. 시계 > 더보기 > 설정 Tap 2. 다시 울림 간격,알람 발생 후 다시울림 선택시 설정한 시간 후에 알람 발생한다. - Default : 10분,NAVIGATION_ONLY,EXCLUDE,다시 울림 = 알람 발생 의존,N,N
29.Clock,112.0,시계 - 설정,1. 시계 > 더보기 > 설정 Tap 2. 시계 종류 Tap,1. 시계 종류 팝업 발생한다. 2. 팝업 내에서 시계 종류 선택 가능하다. - 디지털(Default) - 아날로그 3. 변경값에 따라 세계 시각 탭에서 노출되는 시계가 달라진다.,NAVIGATION_ONLY,REVIEW_QUEUE,재설계: 시계종류 팝업+Default observe 분리(선택 변경 제거),N,N
29.Clock,113.0,시계 - 설정,1. 시계 > 더보기 > 설정 Tap 2. 타이머 소리 Tap,1. 타이머 기기 벨소리 리스트 노출되며 선택시 변경가능하다. 2. 타이머 알람 발생시 변경한 벨소리로 울린다.,NAVIGATION_ONLY,REVIEW_QUEUE,재설계: 벨소리 리스트 노출 observe 분리(선택 변경 제거),N,N
29.Clock,114.0,시계 - 설정,1. 시계 > 더보기 > 설정 Tap 2. 타이머 소리 Tap 3. 새로 추가 Tap,1. 구글 파일앱으로 이동되며 모든 벨소리 및 음성 파일 설정 가능하다. 2. 파일 선택시 벨소리 리스트에 추가되며 롱탭시 시계앱 중지되지 않는다.,NAVIGATION_ONLY,EXCLUDE,외부 파일앱 이동+벨소리 추가 = 외부효과+mutation,N,N
29.Clock,115.0,시계 - 설정,1. 시계 > 더보기 > 설정 Tap 2. 타이머 진동 Toggle On/Off,1. 타이머 진동 Toggle On일 경우 타이머 알람 발생시 진동도 함께 발생한다. 2. 타이머 진동 Toggle Off일 경우 타이머 알람 발생시 진동 발생하지 않는다.,INPUT_REQUIRED,EXCLUDE,타이머 진동 토글 = mutation + 알람 발생,N,N
32.Calculator,1.0,APK 실행,계산기 선택,계산기 어플에 정상적으로 진입이 되어야 한다.,NAVIGATION_ONLY,KEEP,앱 진입 observe; verifier = paraphrase(화면 literal 미확정),N,N
32.Calculator,2.0,입력 및 삭제,1. 계산기 > 디바이스 화면을 가로로 놓기,계산기에서 가로모드를 지원하지 않습니다 (세로 모드로만 제한합니다.),INPUT_REQUIRED,EXCLUDE,물리 가로 회전 + 퀵세팅 자동회전 ON(시스템 설정 변이),N,N
32.Calculator,3.0,입력 및 삭제,계산기 > 음수 입력,음수가 입력이 되어야 한다,INPUT_REQUIRED,KEEP,"음수 입력 transient('=' 미사용, 기록 미생성), AC 복구 가능",N,Y
32.Calculator,5.0,입력 및 삭제,계산기 > 양수 입력,양수가 입력이 되어야 한다,INPUT_REQUIRED,KEEP,양수 입력 transient — 동일,N,Y
