tc_id,source_file,original_entry_detail,extracted_token,disposition,proposed_normalized_step,proposed_keycode,confidence,rationale,required_decision,device_pilot_eligible,executable
ALTBASIC_HDK_036,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,NOT_A_KEY,(reclassify) 해당 버튼을 짧게,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_HDK_036,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 길게 누른다,FREE_TEXT_DISCOVERY,press_key:<해당 버튼을 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
ALTBASIC_HDK_037,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,NOT_A_KEY,(reclassify) 해당 버튼을 짧게,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_HDK_037,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 길게 누른다,FREE_TEXT_DISCOVERY,press_key:<해당 버튼을 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
ALTBASIC_HDK_038,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,NOT_A_KEY,(reclassify) 해당 버튼을 짧게,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_HDK_038,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 길게 누른다,FREE_TEXT_DISCOVERY,press_key:<해당 버튼을 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
ALTBASIC_HDK_041,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↓) 버튼을 누른다.,Navi 키(모든) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_041,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↓) 버튼을 누른다.,Navi 키( ↓) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 계속 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키(모든) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 계속 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↑) 버튼을 계속 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 계속 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↑) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_046,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( ↓) 버튼을 꾹 누른다.,Navi 키( ↓) 버튼을 꾹 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_050,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:뒤로가기 / 지움| 취소 버튼을 누른다.,뒤로가기 / 지움| 취소 버튼을 누른다.,FREE_TEXT_DISCOVERY,press_key:<뒤로가기 / 지움| 취소 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_052,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( → ) 버튼을 반복하여 누른다.,기기 종료 팝업창이 노출된다.,FREE_TEXT_DISCOVERY,wait:<기기 종료 팝업창이 노출된다>,,low,unresolved free-text body,manifest_rewrite,False,True
ALTBASIC_HDK_052,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( → ) 버튼을 반복하여 누른다.,Navi 키( → ) 버튼을 반복하여 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_053,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ←) 버튼을 누른다.,기기 종료 팝업창이 노출된다.,FREE_TEXT_DISCOVERY,wait:<기기 종료 팝업창이 노출된다>,,low,unresolved free-text body,manifest_rewrite,False,True
ALTBASIC_HDK_053,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ←) 버튼을 누른다.,Navi 키( ←) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ↓) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,기기 종료 팝업창이 노출된다.,FREE_TEXT_DISCOVERY,wait:<기기 종료 팝업창이 노출된다>,,low,unresolved free-text body,manifest_rewrite,False,True
ALTBASIC_HDK_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ↓) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↓) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ↓) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↑) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키(전체) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( ↑) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( → ) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 누른다. > press_key:Navi 키( → ) 버튼을 누른다. > press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( ↓ ) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_056,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( → ) 버튼을 누른다.,Navi 키( → ) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_062,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( ←) 버튼을 반복하여 누른다.,Navi 키( ←) 버튼을 반복하여 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_064,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(전체) 버튼을 누른다.,Navi 키(전체) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_070,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다. > press_key:뒤로가기 / 지움|취소 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_070,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다. > press_key:뒤로가기 / 지움|취소 버튼을 누른다.,뒤로가기 / 지움|취소 버튼을 누른다.,FREE_TEXT_DISCOVERY,press_key:<뒤로가기 / 지움|취소 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_094,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_096,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( ↓ ) 버튼을 누른다.,Navi 키( ↓ ) 버튼을 누른다.,ADJUDICATE,press_key:?,,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_097,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_098,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_099,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_100,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_101,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_HDK_102,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Navi 키(OK) 버튼을 누른다.,Navi 키(OK) 버튼을 누른다.,ADJUDICATE,press_key:KEYCODE_DPAD_CENTER?,23,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_QPN_001,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > navigate:기본 퀵 패널 항목 확인한다,홈 스크린에서 퀵 패널 활성화 한다,FREE_TEXT_DISCOVERY,navigate:<홈 스크린에서 퀵 패널 활성화>,,low,navigate target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_001,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > navigate:기본 퀵 패널 항목 확인한다,기본 퀵 패널 항목 확인한다,FREE_TEXT_DISCOVERY,navigate:<기본 퀵 패널 항목 확인>,,low,navigate target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_002,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > tap:편집 버튼 Tap 한다,홈 스크린에서 퀵 패널 활성화 한다,FREE_TEXT_DISCOVERY,navigate:<홈 스크린에서 퀵 패널 활성화>,,low,navigate target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_002,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > tap:편집 버튼 Tap 한다,편집 버튼 Tap 한다,FREE_TEXT_DISCOVERY,tap:<편집 버튼>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_004,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:화면 상단부에서 아래로 스와이프하여 퀵패널 진입 > 펼치기 Tap,화면 상단부에서 아래로 스와이프하여 퀵패널 진입,FREE_TEXT_DISCOVERY,navigate:<화면 상단부에서 아래로 스와이프하여 퀵패널 진입>,,low,navigate target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_004,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:화면 상단부에서 아래로 스와이프하여 퀵패널 진입 > 펼치기 Tap,펼치기 Tap,NOT_A_KEY,(reclassify) 펼치기,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_QPN_008,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > tap:편집 버튼 Tap 한다 > press_key:뒤로가기,홈 스크린에서 퀵 패널 활성화 한다,FREE_TEXT_DISCOVERY,navigate:<홈 스크린에서 퀵 패널 활성화>,,low,navigate target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_008,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > tap:편집 버튼 Tap 한다 > press_key:뒤로가기,편집 버튼 Tap 한다,FREE_TEXT_DISCOVERY,tap:<편집 버튼>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_008,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > tap:편집 버튼 Tap 한다 > press_key:뒤로가기,뒤로가기,NOT_A_KEY,(reclassify) 뒤로가기,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_QPN_010,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 설정 버튼,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_010,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 설정 버튼,설정 버튼,FREE_TEXT_DISCOVERY,press_key:<설정 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_QPN_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 전원 버튼,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 전원 버튼,전원 버튼,FREE_TEXT_DISCOVERY,press_key:<전원 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_QPN_012,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 전원 버튼 > 긴급 전화,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_012,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 전원 버튼 > 긴급 전화,전원 버튼,FREE_TEXT_DISCOVERY,press_key:<전원 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_QPN_012,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 전원 버튼 > 긴급 전화,긴급 전화,NOT_A_KEY,(reclassify) 긴급 전화,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_QPN_026,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 모바일 데이터 Long Tap,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_026,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 모바일 데이터 Long Tap,모바일 데이터 Long Tap,FREE_TEXT_DISCOVERY,(bare):<모바일 데이터 Long>,,low,unresolved free-text body,manifest_rewrite,False,True
ALTBASIC_QPN_043,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 화면 터치 잠금 탭,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_043,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 화면 터치 잠금 탭,화면 터치 잠금 탭,NOT_A_KEY,(reclassify) 화면 터치 잠금,,low,screen/focus/state ref mis-tagged as key,reclassify_verifier_or_navigate,False,True
ALTBASIC_QPN_044,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 퀵 패널 > 화면 터치 잠금 탭 > tap:2. 취소버튼 Tap,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_044,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 퀵 패널 > 화면 터치 잠금 탭 > tap:2. 취소버튼 Tap,화면 터치 잠금 탭,NOT_A_KEY,(reclassify) 화면 터치 잠금,,low,screen/focus/state ref mis-tagged as key,reclassify_verifier_or_navigate,False,True
ALTBASIC_QPN_044,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 퀵 패널 > 화면 터치 잠금 탭 > tap:2. 취소버튼 Tap,취소버튼 Tap,FREE_TEXT_DISCOVERY,tap:<취소버튼>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_QPN_053,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 자동 회전 Long 탭,퀵 패널,FREE_TEXT_DISCOVERY,tap:<퀵 패널>,,low,tap target needs a selector,device_selector_discovery,False,True
